स्थिति,सूत्र
यदि हि,-
हि अहम्,-
ह्यहम्,[[इको यणचि (6.1.77)]]
ह्यहम् न,-
ह्यहं न,[[मोऽनुस्वारः (8.3.23)]]
न वर्तेयम्,-
वर्तेयम् जातु,-
वर्तेयं जातु,[[मोऽनुस्वारः (8.3.23)]]
जातु कर्मणि,-
कर्मणि अतन्द्रितस्,-
कर्मण्यतन्द्रितस्,[[इको यणचि (6.1.77)]]
कर्मण्यतन्द्रितस्,-
कर्मण्यतन्द्रितरुँ,[[ससजुषो रुः (8.2.66)]]
कर्मण्यतन्द्रितर्,[[तस्य लोपः (1.3.9)]]
कर्मण्यतन्द्रितः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मम वर्त्म,-
वर्त्म अनुवर्तन्ते,-
वर्त्मानुवर्तन्ते,[[अकः सवर्णे दीर्घः (6.1.101)]]
वर्त्मानुवर्तन्ते मनुष्यास्,-
मनुष्यास् पार्थ,-
मनुष्यारुँ पार्थ,[[ससजुषो रुः (8.2.66)]]
मनुष्यार् पार्थ,[[तस्य लोपः (1.3.9)]]
मनुष्याः पार्थ,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मनुष्याः पार्थ,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पार्थ सर्वशस्,-
सर्वशस्,-
सर्वशरुँ,[[ससजुषो रुः (8.2.66)]]
सर्वशर्,[[तस्य लोपः (1.3.9)]]
सर्वशः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
