स्थिति,सूत्र
शरीरवाङ्मनोभिस् यत्,-
शरीरवाङ्मनोभिरुँ यत्,[[ससजुषो रुः (8.2.66)]]
शरीरवाङ्मनोभिर् यत्,[[तस्य लोपः (1.3.9)]]
यत् कर्म,-
यद् कर्म,[[झलां जशोऽन्ते (8.2.39)]]
यत् कर्म,[[खरि च (8.4.55)]]
कर्म प्रारभते,-
प्रारभते नरस्,-
नरस्,-
नररुँ,[[ससजुषो रुः (8.2.66)]]
नरर्,[[तस्य लोपः (1.3.9)]]
नरः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
न्याय्यम् वा,-
न्याय्यं वा,[[मोऽनुस्वारः (8.3.23)]]
वा विपरीतम्,-
विपरीतम् वा,-
विपरीतं वा,[[मोऽनुस्वारः (8.3.23)]]
वा पञ्च,-
पञ्च एते,-
पञ्चैते,[[वृद्धिरेचि (6.1.88)]]
पञ्चैते तस्य,-
तस्य हेतवस्,-
हेतवस्,-
हेतवरुँ,[[ससजुषो रुः (8.2.66)]]
हेतवर्,[[तस्य लोपः (1.3.9)]]
हेतवः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
