स्थिति,सूत्र
त्याज्यम् दोषवत्,-
त्याज्यं दोषवत्,[[मोऽनुस्वारः (8.3.23)]]
दोषवत् इति,-
दोषवद् इति,[[झलां जशोऽन्ते (8.2.39)]]
इति एके,-
इत्येके,[[इको यणचि (6.1.77)]]
इत्येके कर्म,-
कर्म प्राहुस्,-
प्राहुस् मनीषिणस्,-
प्राहुरुँ मनीषिणस्,[[ससजुषो रुः (8.2.66)]]
प्राहुर् मनीषिणस्,[[तस्य लोपः (1.3.9)]]
मनीषिणस्,-
मनीषिणरुँ,[[ससजुषो रुः (8.2.66)]]
मनीषिणर्,[[तस्य लोपः (1.3.9)]]
मनीषिणः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यज्ञदानतपःकर्म न,-
न त्याज्यम्,-
त्याज्यम् इति,-
इति च,-
च अपरे,-
चापरे,[[अकः सवर्णे दीर्घः (6.1.101)]]
चापरे,-
