स्थिति,सूत्र
अशोच्यान् अन्वशोचस्,-
अन्वशोचस् त्वम्,-
अन्वशोचरुँ त्वम्,[[ससजुषो रुः (8.2.66)]]
अन्वशोचर् त्वम्,[[तस्य लोपः (1.3.9)]]
अन्वशोचः त्वम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अन्वशोचस् त्वम्,[[विसर्जनीयस्य सः (8.3.34)]]
त्वम् प्रज्ञावादान्,-
त्वं प्रज्ञावादान्,[[मोऽनुस्वारः (8.3.23)]]
प्रज्ञावादान् च,-
प्रज्ञावादांरुँ च,[[नश्छव्यप्रशान् (8.3.7)]]
प्रज्ञावादांर् च,[[तस्य लोपः (1.3.9)]]
प्रज्ञावादांः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
प्रज्ञावादांस् च,[[विसर्जनीयस्य सः (8.3.34)]]
प्रज्ञावादांश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च भाषसे,-
भाषसे,-
गतासून् अगतासून्,-
अगतासून् च,-
अगतासूंरुँ च,[[नश्छव्यप्रशान् (8.3.7)]]
अगतासूंर् च,[[तस्य लोपः (1.3.9)]]
अगतासूंः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अगतासूंस् च,[[विसर्जनीयस्य सः (8.3.34)]]
अगतासूंश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च न,-
न अनुशोचन्ति,-
नानुशोचन्ति,[[अकः सवर्णे दीर्घः (6.1.101)]]
नानुशोचन्ति पण्डितास्,-
पण्डितास्,-
पण्डितारुँ,[[ससजुषो रुः (8.2.66)]]
पण्डितार्,[[तस्य लोपः (1.3.9)]]
पण्डिताः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
