स्थिति,सूत्र
एवम् उक्त्वा,-
उक्त्वा ततस्,-
ततस् राजन्,-
ततरुँ राजन्,[[ससजुषो रुः (8.2.66)]]
ततर् राजन्,[[तस्य लोपः (1.3.9)]]
तत उ राजन्,[[हशि च (6.1.114)]]
ततो राजन्,[[आद्गुणः (6.1.87)]]
राजन् महायोगेश्वरस्,-
महायोगेश्वरस् हरिस्,-
महायोगेश्वररुँ हरिस्,[[ससजुषो रुः (8.2.66)]]
महायोगेश्वरर् हरिस्,[[तस्य लोपः (1.3.9)]]
महायोगेश्वर उ हरिस्,[[हशि च (6.1.114)]]
महायोगेश्वरो हरिस्,[[आद्गुणः (6.1.87)]]
हरिस्,-
हरिरुँ,[[ससजुषो रुः (8.2.66)]]
हरिर्,[[तस्य लोपः (1.3.9)]]
हरिः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
दर्शयामास पार्थाय,-
पार्थाय परमम्,-
परमम् रूपम्,-
परमं रूपम्,[[मोऽनुस्वारः (8.3.23)]]
रूपम् ऐश्वरम्,-
ऐश्वरम्,-
