स्थिति,सूत्र
मत्कर्मकृत् मत्परमस्,-
मत्कर्मकृद् मत्परमस्,[[झलां जशोऽन्ते (8.2.39)]]
मत्कर्मकृन् मत्परमस्,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
मत्परमस् मद्भक्तस्,-
मत्परमरुँ मद्भक्तस्,[[ससजुषो रुः (8.2.66)]]
मत्परमर् मद्भक्तस्,[[तस्य लोपः (1.3.9)]]
मत्परम उ मद्भक्तस्,[[हशि च (6.1.114)]]
मत्परमो मद्भक्तस्,[[आद्गुणः (6.1.87)]]
मद्भक्तस् सङ्गवर्जितस्,-
मद्भक्तरुँ सङ्गवर्जितस्,[[ससजुषो रुः (8.2.66)]]
मद्भक्तर् सङ्गवर्जितस्,[[तस्य लोपः (1.3.9)]]
मद्भक्तः सङ्गवर्जितस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मद्भक्तः सङ्गवर्जितस्,[[वा शरि (8.3.36)]]
सङ्गवर्जितस्,-
सङ्गवर्जितरुँ,[[ससजुषो रुः (8.2.66)]]
सङ्गवर्जितर्,[[तस्य लोपः (1.3.9)]]
सङ्गवर्जितः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
निर्वैरस् सर्वभूतेषु,-
निर्वैररुँ सर्वभूतेषु,[[ससजुषो रुः (8.2.66)]]
निर्वैरर् सर्वभूतेषु,[[तस्य लोपः (1.3.9)]]
निर्वैरः सर्वभूतेषु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
निर्वैरः सर्वभूतेषु,[[वा शरि (8.3.36)]]
सर्वभूतेषु यस्,-
यस् सस्,-
यरुँ सस्,[[ससजुषो रुः (8.2.66)]]
यर् सस्,[[तस्य लोपः (1.3.9)]]
यः सस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यः सस्,[[वा शरि (8.3.36)]]
सस् माम्,-
स माम्,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
माम् एति,-
एति पाण्डव,-
पाण्डव,-
