स्थिति,सूत्र
मा ते,-
ते व्यथा,-
व्यथा मा,-
मा च,-
च विमूढभावस्,-
विमूढभावस् दृष्ट्वा,-
विमूढभावरुँ दृष्ट्वा,[[ससजुषो रुः (8.2.66)]]
विमूढभावर् दृष्ट्वा,[[तस्य लोपः (1.3.9)]]
विमूढभाव उ दृष्ट्वा,[[हशि च (6.1.114)]]
विमूढभावो दृष्ट्वा,[[आद्गुणः (6.1.87)]]
दृष्ट्वा रूपम्,-
रूपम् घोरम्,-
रूपं घोरम्,[[मोऽनुस्वारः (8.3.23)]]
घोरम् ईदृक्,-
ईदृक् मम,-
ईदृग् मम,[[झलां जशोऽन्ते (8.2.39)]]
ईदृङ् मम,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
मम इदम्,-
ममेदम्,[[आद्गुणः (6.1.87)]]
ममेदम्,-
व्यपेतभीस् प्रीतमनास्,-
व्यपेतभीरुँ प्रीतमनास्,[[ससजुषो रुः (8.2.66)]]
व्यपेतभीर् प्रीतमनास्,[[तस्य लोपः (1.3.9)]]
व्यपेतभीः प्रीतमनास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
व्यपेतभीः प्रीतमनास्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रीतमनास् पुनर्,-
प्रीतमनारुँ पुनर्,[[ससजुषो रुः (8.2.66)]]
प्रीतमनार् पुनर्,[[तस्य लोपः (1.3.9)]]
प्रीतमनाः पुनर्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
प्रीतमनाः पुनर्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पुनर् त्वम्,-
पुनः त्वम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पुनस् त्वम्,[[विसर्जनीयस्य सः (8.3.34)]]
त्वम् तत्,-
त्वं तत्,[[मोऽनुस्वारः (8.3.23)]]
तत् एव,-
तद् एव,[[झलां जशोऽन्ते (8.2.39)]]
एव मे,-
मे रूपम्,-
रूपम् इदम्,-
इदम् प्रपश्य,-
इदं प्रपश्य,[[मोऽनुस्वारः (8.3.23)]]
प्रपश्य,-
