स्थिति,सूत्र
बहूनाम् जन्मनाम्,-
बहूनां जन्मनाम्,[[मोऽनुस्वारः (8.3.23)]]
जन्मनाम् अन्ते,-
अन्ते ज्ञानवान्,-
ज्ञानवान् माम्,-
माम् प्रपद्यते,-
मां प्रपद्यते,[[मोऽनुस्वारः (8.3.23)]]
प्रपद्यते,-
वासुदेवस् सर्वम्,-
वासुदेवरुँ सर्वम्,[[ससजुषो रुः (8.2.66)]]
वासुदेवर् सर्वम्,[[तस्य लोपः (1.3.9)]]
वासुदेवः सर्वम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
वासुदेवः सर्वम्,[[वा शरि (8.3.36)]]
सर्वम् इति,-
इति सस्,-
सस् महात्मा,-
स महात्मा,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
महात्मा सुदुर्लभस्,-
सुदुर्लभस्,-
सुदुर्लभरुँ,[[ससजुषो रुः (8.2.66)]]
सुदुर्लभर्,[[तस्य लोपः (1.3.9)]]
सुदुर्लभः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
