स्थिति,सूत्र
अमी हि,-
हि त्वाम्,-
त्वाम् सुरसङ्घास्,-
त्वां सुरसङ्घास्,[[मोऽनुस्वारः (8.3.23)]]
सुरसङ्घास् विशन्ति,-
सुरसङ्घारुँ विशन्ति,[[ससजुषो रुः (8.2.66)]]
सुरसङ्घार् विशन्ति,[[तस्य लोपः (1.3.9)]]
सुरसङ्घाय् विशन्ति,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
सुरसङ्घा विशन्ति,[[हलि सर्वेषाम् (8.3.22)]]
विशन्ति केचित्,-
केचित् भीतास्,-
केचिद् भीतास्,[[झलां जशोऽन्ते (8.2.39)]]
भीतास् प्राञ्जलयस्,-
भीतारुँ प्राञ्जलयस्,[[ससजुषो रुः (8.2.66)]]
भीतार् प्राञ्जलयस्,[[तस्य लोपः (1.3.9)]]
भीताः प्राञ्जलयस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
भीताः प्राञ्जलयस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्राञ्जलयस् गृणन्ति,-
प्राञ्जलयरुँ गृणन्ति,[[ससजुषो रुः (8.2.66)]]
प्राञ्जलयर् गृणन्ति,[[तस्य लोपः (1.3.9)]]
प्राञ्जलय उ गृणन्ति,[[हशि च (6.1.114)]]
प्राञ्जलयो गृणन्ति,[[आद्गुणः (6.1.87)]]
गृणन्ति,-
स्वस्ति इति,-
स्वस्तीति,[[अकः सवर्णे दीर्घः (6.1.101)]]
स्वस्तीति उक्त्वा,-
स्वस्तीत्युक्त्वा,[[इको यणचि (6.1.77)]]
स्वस्तीत्युक्त्वा महर्षिसिद्धसङ्घास्,-
महर्षिसिद्धसङ्घास् स्तुवन्ति,-
महर्षिसिद्धसङ्घारुँ स्तुवन्ति,[[ससजुषो रुः (8.2.66)]]
महर्षिसिद्धसङ्घार् स्तुवन्ति,[[तस्य लोपः (1.3.9)]]
महर्षिसिद्धसङ्घाः स्तुवन्ति,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
महर्षिसिद्धसङ्घाः स्तुवन्ति,[[वा शरि (8.3.36)]]
स्तुवन्ति त्वाम्,-
त्वाम् स्तुतिभिस्,-
त्वां स्तुतिभिस्,[[मोऽनुस्वारः (8.3.23)]]
स्तुतिभिस् पुष्कलाभिस्,-
स्तुतिभिरुँ पुष्कलाभिस्,[[ससजुषो रुः (8.2.66)]]
स्तुतिभिर् पुष्कलाभिस्,[[तस्य लोपः (1.3.9)]]
स्तुतिभिः पुष्कलाभिस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
स्तुतिभिः पुष्कलाभिस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पुष्कलाभिस्,-
पुष्कलाभिरुँ,[[ससजुषो रुः (8.2.66)]]
पुष्कलाभिर्,[[तस्य लोपः (1.3.9)]]
पुष्कलाभिः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
