स्थिति,सूत्र
धृत्या यया,-
यया धारयते,-
धारयते मनःप्राणेन्द्रियक्रियास्,-
मनःप्राणेन्द्रियक्रियास्,-
मनःप्राणेन्द्रियक्रियारुँ,[[ससजुषो रुः (8.2.66)]]
मनःप्राणेन्द्रियक्रियार्,[[तस्य लोपः (1.3.9)]]
मनःप्राणेन्द्रियक्रियाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
योगेन अव्यभिचारिण्या,-
योगेनाव्यभिचारिण्या,[[अकः सवर्णे दीर्घः (6.1.101)]]
योगेनाव्यभिचारिण्या धृतिस्,-
धृतिस् सा,-
धृतिरुँ सा,[[ससजुषो रुः (8.2.66)]]
धृतिर् सा,[[तस्य लोपः (1.3.9)]]
धृतिः सा,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
धृतिः सा,[[वा शरि (8.3.36)]]
सा पार्थ,-
पार्थ सात्त्विकी,-
सात्त्विकी,-
