स्थिति,सूत्र
ओम् इति,-
इति एकाक्षरम्,-
इत्येकाक्षरम्,[[इको यणचि (6.1.77)]]
इत्येकाक्षरम् ब्रह्म,-
इत्येकाक्षरं ब्रह्म,[[मोऽनुस्वारः (8.3.23)]]
ब्रह्म व्याहरन्,-
व्याहरन् माम्,-
माम् अनुस्मरन्,-
अनुस्मरन्,-
यस् प्रयाति,-
यरुँ प्रयाति,[[ससजुषो रुः (8.2.66)]]
यर् प्रयाति,[[तस्य लोपः (1.3.9)]]
यः प्रयाति,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यः प्रयाति,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रयाति त्यजन्,-
त्यजन् देहम्,-
देहम् सस्,-
देहं सस्,[[मोऽनुस्वारः (8.3.23)]]
सस् याति,-
स याति,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
याति परमाम्,-
परमाम् गतिम्,-
परमां गतिम्,[[मोऽनुस्वारः (8.3.23)]]
गतिम्,-
