स्थिति,सूत्र
प्रशान्तात्मा विगतभीस्,-
विगतभीस् ब्रह्मचारिव्रते,-
विगतभीरुँ ब्रह्मचारिव्रते,[[ससजुषो रुः (8.2.66)]]
विगतभीर् ब्रह्मचारिव्रते,[[तस्य लोपः (1.3.9)]]
ब्रह्मचारिव्रते स्थितस्,-
स्थितस्,-
स्थितरुँ,[[ससजुषो रुः (8.2.66)]]
स्थितर्,[[तस्य लोपः (1.3.9)]]
स्थितः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मनस् संयम्य,-
मनरुँ संयम्य,[[ससजुषो रुः (8.2.66)]]
मनर् संयम्य,[[तस्य लोपः (1.3.9)]]
मनः संयम्य,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मनः संयम्य,[[वा शरि (8.3.36)]]
संयम्य मच्चित्तस्,-
मच्चित्तस् युक्तस्,-
मच्चित्तरुँ युक्तस्,[[ससजुषो रुः (8.2.66)]]
मच्चित्तर् युक्तस्,[[तस्य लोपः (1.3.9)]]
मच्चित्त उ युक्तस्,[[हशि च (6.1.114)]]
मच्चित्तो युक्तस्,[[आद्गुणः (6.1.87)]]
युक्तस् आसीत,-
युक्तरुँ आसीत,[[ससजुषो रुः (8.2.66)]]
युक्तर् आसीत,[[तस्य लोपः (1.3.9)]]
युक्तय् आसीत,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
युक्त आसीत,[[लोपः शाकल्यस्य (8.3.19)]]
आसीत मत्परस्,-
मत्परस्,-
मत्पररुँ,[[ससजुषो रुः (8.2.66)]]
मत्परर्,[[तस्य लोपः (1.3.9)]]
मत्परः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
