स्थिति,सूत्र
नमस् पुरस्तात्,-
नमरुँ पुरस्तात्,[[ससजुषो रुः (8.2.66)]]
नमर् पुरस्तात्,[[तस्य लोपः (1.3.9)]]
नमः पुरस्तात्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
नमः पुरस्तात्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पुरस्तात् अथ,-
पुरस्ताद् अथ,[[झलां जशोऽन्ते (8.2.39)]]
अथ पृष्ठतस्,-
पृष्ठतस् ते,-
पृष्ठतरुँ ते,[[ससजुषो रुः (8.2.66)]]
पृष्ठतर् ते,[[तस्य लोपः (1.3.9)]]
पृष्ठतः ते,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पृष्ठतस् ते,[[विसर्जनीयस्य सः (8.3.34)]]
ते नमस्,-
नमस् अस्तु,-
नमरुँ अस्तु,[[ससजुषो रुः (8.2.66)]]
नमर् अस्तु,[[तस्य लोपः (1.3.9)]]
नम उ अस्तु,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
नमो अस्तु,[[आद्गुणः (6.1.87)]]
नमोऽस्तु,[[एङः पदान्तादति (6.1.109)]]
नमोऽस्तु ते,-
ते सर्वतस्,-
सर्वतस् एव,-
सर्वतरुँ एव,[[ससजुषो रुः (8.2.66)]]
सर्वतर् एव,[[तस्य लोपः (1.3.9)]]
सर्वतय् एव,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
सर्वत एव,[[लोपः शाकल्यस्य (8.3.19)]]
एव सर्व,-
सर्व,-
अनन्तवीर्यामितविक्रमस् त्वम्,-
अनन्तवीर्यामितविक्रमरुँ त्वम्,[[ससजुषो रुः (8.2.66)]]
अनन्तवीर्यामितविक्रमर् त्वम्,[[तस्य लोपः (1.3.9)]]
अनन्तवीर्यामितविक्रमः त्वम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अनन्तवीर्यामितविक्रमस् त्वम्,[[विसर्जनीयस्य सः (8.3.34)]]
त्वम् सर्वम्,-
त्वं सर्वम्,[[मोऽनुस्वारः (8.3.23)]]
सर्वम् समाप्नोषि,-
सर्वं समाप्नोषि,[[मोऽनुस्वारः (8.3.23)]]
समाप्नोषि ततस्,-
ततस् असि,-
ततरुँ असि,[[ससजुषो रुः (8.2.66)]]
ततर् असि,[[तस्य लोपः (1.3.9)]]
तत उ असि,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
ततो असि,[[आद्गुणः (6.1.87)]]
ततोऽसि,[[एङः पदान्तादति (6.1.109)]]
ततोऽसि सर्वस्,-
सर्वस्,-
सर्वरुँ,[[ससजुषो रुः (8.2.66)]]
सर्वर्,[[तस्य लोपः (1.3.9)]]
सर्वः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
