स्थिति,सूत्र
न इह,-
नेह,[[आद्गुणः (6.1.87)]]
नेह अभिक्रमनाशस्,-
नेहाभिक्रमनाशस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
नेहाभिक्रमनाशस् अस्ति,-
नेहाभिक्रमनाशरुँ अस्ति,[[ससजुषो रुः (8.2.66)]]
नेहाभिक्रमनाशर् अस्ति,[[तस्य लोपः (1.3.9)]]
नेहाभिक्रमनाश उ अस्ति,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
नेहाभिक्रमनाशो अस्ति,[[आद्गुणः (6.1.87)]]
नेहाभिक्रमनाशोऽस्ति,[[एङः पदान्तादति (6.1.109)]]
नेहाभिक्रमनाशोऽस्ति प्रत्यवायस्,-
प्रत्यवायस् न,-
प्रत्यवायरुँ न,[[ससजुषो रुः (8.2.66)]]
प्रत्यवायर् न,[[तस्य लोपः (1.3.9)]]
प्रत्यवाय उ न,[[हशि च (6.1.114)]]
प्रत्यवायो न,[[आद्गुणः (6.1.87)]]
न विद्यते,-
विद्यते,-
स्वल्पम् अपि,-
अपि अस्य,-
अप्यस्य,[[इको यणचि (6.1.77)]]
अप्यस्य धर्मस्य,-
धर्मस्य त्रायते,-
त्रायते महतस्,-
महतस् भयात्,-
महतरुँ भयात्,[[ससजुषो रुः (8.2.66)]]
महतर् भयात्,[[तस्य लोपः (1.3.9)]]
महत उ भयात्,[[हशि च (6.1.114)]]
महतो भयात्,[[आद्गुणः (6.1.87)]]
भयात्,-
भयाद्,[[झलां जशोऽन्ते (8.2.39)]]
भयात्,[[वाऽवसाने (8.4.56)]]
