स्थिति,सूत्र
अश्रद्दधानास् पुरुषास्,-
अश्रद्दधानारुँ पुरुषास्,[[ससजुषो रुः (8.2.66)]]
अश्रद्दधानार् पुरुषास्,[[तस्य लोपः (1.3.9)]]
अश्रद्दधानाः पुरुषास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अश्रद्दधानाः पुरुषास्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पुरुषास् धर्मस्य,-
पुरुषारुँ धर्मस्य,[[ससजुषो रुः (8.2.66)]]
पुरुषार् धर्मस्य,[[तस्य लोपः (1.3.9)]]
पुरुषाय् धर्मस्य,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
पुरुषा धर्मस्य,[[हलि सर्वेषाम् (8.3.22)]]
धर्मस्य अस्य,-
धर्मस्यास्य,[[अकः सवर्णे दीर्घः (6.1.101)]]
धर्मस्यास्य परन्तप,-
परन्तप,-
अप्राप्य माम्,-
माम् निवर्तन्ते,-
मां निवर्तन्ते,[[मोऽनुस्वारः (8.3.23)]]
निवर्तन्ते मृत्युसंसारवर्त्मनि,-
मृत्युसंसारवर्त्मनि,-
