स्थिति,सूत्र
यत् यत्,-
यद् यत्,[[झलां जशोऽन्ते (8.2.39)]]
यत् आचरति,-
यद् आचरति,[[झलां जशोऽन्ते (8.2.39)]]
आचरति श्रेष्ठस्,-
श्रेष्ठस् तत्,-
श्रेष्ठरुँ तत्,[[ससजुषो रुः (8.2.66)]]
श्रेष्ठर् तत्,[[तस्य लोपः (1.3.9)]]
श्रेष्ठः तत्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
श्रेष्ठस् तत्,[[विसर्जनीयस्य सः (8.3.34)]]
तत् तत्,-
तद् तत्,[[झलां जशोऽन्ते (8.2.39)]]
तत् तत्,[[खरि च (8.4.55)]]
तत् एव,-
तद् एव,[[झलां जशोऽन्ते (8.2.39)]]
एव इतरस्,-
एवेतरस्,[[आद्गुणः (6.1.87)]]
एवेतरस् जनस्,-
एवेतररुँ जनस्,[[ससजुषो रुः (8.2.66)]]
एवेतरर् जनस्,[[तस्य लोपः (1.3.9)]]
एवेतर उ जनस्,[[हशि च (6.1.114)]]
एवेतरो जनस्,[[आद्गुणः (6.1.87)]]
जनस्,-
जनरुँ,[[ससजुषो रुः (8.2.66)]]
जनर्,[[तस्य लोपः (1.3.9)]]
जनः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सस् यत्,-
स यत्,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
यत् प्रमाणम्,-
यद् प्रमाणम्,[[झलां जशोऽन्ते (8.2.39)]]
यत् प्रमाणम्,[[खरि च (8.4.55)]]
प्रमाणम् कुरुते,-
प्रमाणं कुरुते,[[मोऽनुस्वारः (8.3.23)]]
कुरुते लोकस्,-
लोकस् तत्,-
लोकरुँ तत्,[[ससजुषो रुः (8.2.66)]]
लोकर् तत्,[[तस्य लोपः (1.3.9)]]
लोकः तत्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
लोकस् तत्,[[विसर्जनीयस्य सः (8.3.34)]]
तत् अनुवर्तते,-
तद् अनुवर्तते,[[झलां जशोऽन्ते (8.2.39)]]
अनुवर्तते,-
