स्थिति,सूत्र
कर्मणस् सुकृतस्य,-
कर्मणरुँ सुकृतस्य,[[ससजुषो रुः (8.2.66)]]
कर्मणर् सुकृतस्य,[[तस्य लोपः (1.3.9)]]
कर्मणः सुकृतस्य,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कर्मणः सुकृतस्य,[[वा शरि (8.3.36)]]
सुकृतस्य आहुस्,-
सुकृतस्याहुस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
सुकृतस्याहुस् सात्त्विकम्,-
सुकृतस्याहुरुँ सात्त्विकम्,[[ससजुषो रुः (8.2.66)]]
सुकृतस्याहुर् सात्त्विकम्,[[तस्य लोपः (1.3.9)]]
सुकृतस्याहुः सात्त्विकम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सुकृतस्याहुः सात्त्विकम्,[[वा शरि (8.3.36)]]
सात्त्विकम् निर्मलम्,-
सात्त्विकं निर्मलम्,[[मोऽनुस्वारः (8.3.23)]]
निर्मलम् फलम्,-
निर्मलं फलम्,[[मोऽनुस्वारः (8.3.23)]]
फलम्,-
रजसस् तु,-
रजसरुँ तु,[[ससजुषो रुः (8.2.66)]]
रजसर् तु,[[तस्य लोपः (1.3.9)]]
रजसः तु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
रजसस् तु,[[विसर्जनीयस्य सः (8.3.34)]]
तु फलम्,-
फलम् दुःखम्,-
फलं दुःखम्,[[मोऽनुस्वारः (8.3.23)]]
दुःखम् अज्ञानम्,-
अज्ञानम् तमसस्,-
अज्ञानं तमसस्,[[मोऽनुस्वारः (8.3.23)]]
तमसस् फलम्,-
तमसरुँ फलम्,[[ससजुषो रुः (8.2.66)]]
तमसर् फलम्,[[तस्य लोपः (1.3.9)]]
तमसः फलम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तमसः फलम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
फलम्,-
