स्थिति,सूत्र
भवान् भीष्मस्,-
भीष्मस् च,-
भीष्मरुँ च,[[ससजुषो रुः (8.2.66)]]
भीष्मर् च,[[तस्य लोपः (1.3.9)]]
भीष्मः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
भीष्मस् च,[[विसर्जनीयस्य सः (8.3.34)]]
भीष्मश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च कर्णस्,-
कर्णस् च,-
कर्णरुँ च,[[ससजुषो रुः (8.2.66)]]
कर्णर् च,[[तस्य लोपः (1.3.9)]]
कर्णः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कर्णस् च,[[विसर्जनीयस्य सः (8.3.34)]]
कर्णश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च कृपस्,-
कृपस् च,-
कृपरुँ च,[[ससजुषो रुः (8.2.66)]]
कृपर् च,[[तस्य लोपः (1.3.9)]]
कृपः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कृपस् च,[[विसर्जनीयस्य सः (8.3.34)]]
कृपश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च समितिञ्जयस्,-
समितिञ्जयस्,-
समितिञ्जयरुँ,[[ससजुषो रुः (8.2.66)]]
समितिञ्जयर्,[[तस्य लोपः (1.3.9)]]
समितिञ्जयः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अश्वत्थामास् विकर्णस्,-
अश्वत्थामारुँ विकर्णस्,[[ससजुषो रुः (8.2.66)]]
अश्वत्थामार् विकर्णस्,[[तस्य लोपः (1.3.9)]]
अश्वत्थामाय् विकर्णस्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
अश्वत्थामा विकर्णस्,[[हलि सर्वेषाम् (8.3.22)]]
विकर्णस् च,-
विकर्णरुँ च,[[ससजुषो रुः (8.2.66)]]
विकर्णर् च,[[तस्य लोपः (1.3.9)]]
विकर्णः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
विकर्णस् च,[[विसर्जनीयस्य सः (8.3.34)]]
विकर्णश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च सौमदत्तिस्,-
सौमदत्तिस् तथा,-
सौमदत्तिरुँ तथा,[[ससजुषो रुः (8.2.66)]]
सौमदत्तिर् तथा,[[तस्य लोपः (1.3.9)]]
सौमदत्तिः तथा,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सौमदत्तिस् तथा,[[विसर्जनीयस्य सः (8.3.34)]]
तथा एव,-
तथैव,[[वृद्धिरेचि (6.1.88)]]
तथैव च,-
च,-
