स्थिति,सूत्र
ज्ञानेन तु,-
तु तत्,-
तत् अज्ञानम्,-
तद् अज्ञानम्,[[झलां जशोऽन्ते (8.2.39)]]
अज्ञानम् येषाम्,-
अज्ञानं येषाम्,[[मोऽनुस्वारः (8.3.23)]]
येषाम् नाशितम्,-
येषां नाशितम्,[[मोऽनुस्वारः (8.3.23)]]
नाशितम् आत्मनस्,-
आत्मनस्,-
आत्मनरुँ,[[ससजुषो रुः (8.2.66)]]
आत्मनर्,[[तस्य लोपः (1.3.9)]]
आत्मनः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तेषाम् आदित्यवत्,-
आदित्यवत् ज्ञानम्,-
आदित्यवद् ज्ञानम्,[[झलां जशोऽन्ते (8.2.39)]]
आदित्यवज् ज्ञानम्,[[स्तोः श्चुना श्चुः (8.4.40)]]
ज्ञानम् प्रकाशयति,-
ज्ञानं प्रकाशयति,[[मोऽनुस्वारः (8.3.23)]]
प्रकाशयति तत्,-
तत् परम्,-
तद् परम्,[[झलां जशोऽन्ते (8.2.39)]]
तत् परम्,[[खरि च (8.4.55)]]
परम्,-
