स्थिति,सूत्र
यत् च,-
यद् च,[[झलां जशोऽन्ते (8.2.39)]]
यज् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
यच् च,[[खरि च (8.4.55)]]
च अवहासार्थम्,-
चावहासार्थम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
चावहासार्थम् असत्,-
असत् कृतस्,-
असद् कृतस्,[[झलां जशोऽन्ते (8.2.39)]]
असत् कृतस्,[[खरि च (8.4.55)]]
कृतस् असि,-
कृतरुँ असि,[[ससजुषो रुः (8.2.66)]]
कृतर् असि,[[तस्य लोपः (1.3.9)]]
कृत उ असि,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
कृतो असि,[[आद्गुणः (6.1.87)]]
कृतोऽसि,[[एङः पदान्तादति (6.1.109)]]
कृतोऽसि विहारशय्यासनभोजनेषु,-
विहारशय्यासनभोजनेषु,-
एकस् अथवा,-
एकरुँ अथवा,[[ससजुषो रुः (8.2.66)]]
एकर् अथवा,[[तस्य लोपः (1.3.9)]]
एक उ अथवा,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
एको अथवा,[[आद्गुणः (6.1.87)]]
एकोऽथवा,[[एङः पदान्तादति (6.1.109)]]
एकोऽथवा अपि,-
एकोऽथवापि,[[अकः सवर्णे दीर्घः (6.1.101)]]
एकोऽथवापि अच्युत,-
एकोऽथवाप्यच्युत,[[इको यणचि (6.1.77)]]
एकोऽथवाप्यच्युत तत्,-
तत् समक्षम्,-
तद् समक्षम्,[[झलां जशोऽन्ते (8.2.39)]]
तत् समक्षम्,[[खरि च (8.4.55)]]
समक्षम् तत्,-
समक्षं तत्,[[मोऽनुस्वारः (8.3.23)]]
तत् क्षामये,-
तद् क्षामये,[[झलां जशोऽन्ते (8.2.39)]]
तत् क्षामये,[[खरि च (8.4.55)]]
क्षामये त्वाम्,-
त्वाम् अहम्,-
अहम् अप्रमेयम्,-
अप्रमेयम्,-
