स्थिति,सूत्र
न माम्,-
माम् कर्माणि,-
मां कर्माणि,[[मोऽनुस्वारः (8.3.23)]]
कर्माणि लिम्पन्ति,-
लिम्पन्ति न,-
न मे,-
मे कर्मफले,-
कर्मफले स्पृहा,-
स्पृहा,-
इति माम्,-
माम् यस्,-
मां यस्,[[मोऽनुस्वारः (8.3.23)]]
यस् अभिजानाति,-
यरुँ अभिजानाति,[[ससजुषो रुः (8.2.66)]]
यर् अभिजानाति,[[तस्य लोपः (1.3.9)]]
य उ अभिजानाति,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
यो अभिजानाति,[[आद्गुणः (6.1.87)]]
योऽभिजानाति,[[एङः पदान्तादति (6.1.109)]]
योऽभिजानाति कर्मभिस्,-
कर्मभिस् न,-
कर्मभिरुँ न,[[ससजुषो रुः (8.2.66)]]
कर्मभिर् न,[[तस्य लोपः (1.3.9)]]
न सस्,-
सस् बध्यते,-
स बध्यते,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
बध्यते,-
