स्थिति,सूत्र
सङ्करस् नरकाय,-
सङ्कररुँ नरकाय,[[ससजुषो रुः (8.2.66)]]
सङ्करर् नरकाय,[[तस्य लोपः (1.3.9)]]
सङ्कर उ नरकाय,[[हशि च (6.1.114)]]
सङ्करो नरकाय,[[आद्गुणः (6.1.87)]]
नरकाय एव,-
नरकायैव,[[वृद्धिरेचि (6.1.88)]]
नरकायैव कुलघ्नानाम्,-
कुलघ्नानाम् कुलस्य,-
कुलघ्नानां कुलस्य,[[मोऽनुस्वारः (8.3.23)]]
कुलस्य च,-
च,-
पतन्ति पितरस्,-
पितरस् हि,-
पितररुँ हि,[[ससजुषो रुः (8.2.66)]]
पितरर् हि,[[तस्य लोपः (1.3.9)]]
पितर उ हि,[[हशि च (6.1.114)]]
पितरो हि,[[आद्गुणः (6.1.87)]]
हि एषाम्,-
ह्येषाम्,[[इको यणचि (6.1.77)]]
ह्येषाम् लुप्तपिण्डोदकक्रियास्,-
ह्येषां लुप्तपिण्डोदकक्रियास्,[[मोऽनुस्वारः (8.3.23)]]
लुप्तपिण्डोदकक्रियास्,-
लुप्तपिण्डोदकक्रियारुँ,[[ससजुषो रुः (8.2.66)]]
लुप्तपिण्डोदकक्रियार्,[[तस्य लोपः (1.3.9)]]
लुप्तपिण्डोदकक्रियाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
