स्थिति,सूत्र
न तु,-
तु एव,-
त्वेव,[[इको यणचि (6.1.77)]]
त्वेव अहम्,-
त्वेवाहम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
त्वेवाहम् जातु,-
त्वेवाहं जातु,[[मोऽनुस्वारः (8.3.23)]]
जातु न,-
न आसम्,-
नासम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
नासम् न,-
नासं न,[[मोऽनुस्वारः (8.3.23)]]
न त्वम्,-
त्वम् न,-
त्वं न,[[मोऽनुस्वारः (8.3.23)]]
न इमे,-
नेमे,[[आद्गुणः (6.1.87)]]
नेमे जनाधिपास्,-
जनाधिपास्,-
जनाधिपारुँ,[[ससजुषो रुः (8.2.66)]]
जनाधिपार्,[[तस्य लोपः (1.3.9)]]
जनाधिपाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
न च,-
च एव,-
चैव,[[वृद्धिरेचि (6.1.88)]]
चैव न,-
न भविष्यामस्,-
भविष्यामस् सर्वे,-
भविष्यामरुँ सर्वे,[[ससजुषो रुः (8.2.66)]]
भविष्यामर् सर्वे,[[तस्य लोपः (1.3.9)]]
भविष्यामः सर्वे,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
भविष्यामः सर्वे,[[वा शरि (8.3.36)]]
सर्वे वयम्,-
वयम् अतस्,-
अतस् परम्,-
अतरुँ परम्,[[ससजुषो रुः (8.2.66)]]
अतर् परम्,[[तस्य लोपः (1.3.9)]]
अतः परम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अतः परम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
परम्,-
