स्थिति,सूत्र
परस् तस्मात्,-
पररुँ तस्मात्,[[ससजुषो रुः (8.2.66)]]
परर् तस्मात्,[[तस्य लोपः (1.3.9)]]
परः तस्मात्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
परस् तस्मात्,[[विसर्जनीयस्य सः (8.3.34)]]
तस्मात् तु,-
तस्माद् तु,[[झलां जशोऽन्ते (8.2.39)]]
तस्मात् तु,[[खरि च (8.4.55)]]
तु भावस्,-
भावस् अन्यस्,-
भावरुँ अन्यस्,[[ससजुषो रुः (8.2.66)]]
भावर् अन्यस्,[[तस्य लोपः (1.3.9)]]
भाव उ अन्यस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
भावो अन्यस्,[[आद्गुणः (6.1.87)]]
भावोऽन्यस्,[[एङः पदान्तादति (6.1.109)]]
भावोऽन्यस् अव्यक्तस्,-
भावोऽन्यरुँ अव्यक्तस्,[[ससजुषो रुः (8.2.66)]]
भावोऽन्यर् अव्यक्तस्,[[तस्य लोपः (1.3.9)]]
भावोऽन्य उ अव्यक्तस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
भावोऽन्यो अव्यक्तस्,[[आद्गुणः (6.1.87)]]
भावोऽन्योऽव्यक्तस्,[[एङः पदान्तादति (6.1.109)]]
भावोऽन्योऽव्यक्तस् अव्यक्तात्,-
भावोऽन्योऽव्यक्तरुँ अव्यक्तात्,[[ससजुषो रुः (8.2.66)]]
भावोऽन्योऽव्यक्तर् अव्यक्तात्,[[तस्य लोपः (1.3.9)]]
भावोऽन्योऽव्यक्त उ अव्यक्तात्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
भावोऽन्योऽव्यक्तो अव्यक्तात्,[[आद्गुणः (6.1.87)]]
भावोऽन्योऽव्यक्तोऽव्यक्तात्,[[एङः पदान्तादति (6.1.109)]]
भावोऽन्योऽव्यक्तोऽव्यक्तात् सनातनस्,-
भावोऽन्योऽव्यक्तोऽव्यक्ताद् सनातनस्,[[झलां जशोऽन्ते (8.2.39)]]
भावोऽन्योऽव्यक्तोऽव्यक्तात् सनातनस्,[[खरि च (8.4.55)]]
सनातनस्,-
सनातनरुँ,[[ससजुषो रुः (8.2.66)]]
सनातनर्,[[तस्य लोपः (1.3.9)]]
सनातनः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यस् सस्,-
यरुँ सस्,[[ससजुषो रुः (8.2.66)]]
यर् सस्,[[तस्य लोपः (1.3.9)]]
यः सस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यः सस्,[[वा शरि (8.3.36)]]
सस् सर्वेषु,-
स सर्वेषु,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
सर्वेषु भूतेषु,-
भूतेषु नश्यत्सु,-
नश्यत्सु न,-
न विनश्यति,-
विनश्यति,-
