स्थिति,सूत्र
प्रयाणकाले मनसा,-
मनसा अचलेन,-
मनसाचलेन,[[अकः सवर्णे दीर्घः (6.1.101)]]
मनसाचलेन भक्त्या,-
भक्त्या युक्तस्,-
युक्तस् योगबलेन,-
युक्तरुँ योगबलेन,[[ससजुषो रुः (8.2.66)]]
युक्तर् योगबलेन,[[तस्य लोपः (1.3.9)]]
युक्त उ योगबलेन,[[हशि च (6.1.114)]]
युक्तो योगबलेन,[[आद्गुणः (6.1.87)]]
योगबलेन च,-
च एव,-
चैव,[[वृद्धिरेचि (6.1.88)]]
चैव,-
भ्रुवोस् मध्ये,-
भ्रुवोरुँ मध्ये,[[ससजुषो रुः (8.2.66)]]
भ्रुवोर् मध्ये,[[तस्य लोपः (1.3.9)]]
मध्ये प्राणम्,-
प्राणम् आवेश्य,-
आवेश्य सम्यक्,-
सम्यक् सस्,-
सम्यग् सस्,[[झलां जशोऽन्ते (8.2.39)]]
सम्यक् सस्,[[खरि च (8.4.55)]]
सस् तम्,-
स तम्,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
तम् परम्,-
तं परम्,[[मोऽनुस्वारः (8.3.23)]]
परम् पुरुषम्,-
परं पुरुषम्,[[मोऽनुस्वारः (8.3.23)]]
पुरुषम् उपैति,-
उपैति दिव्यम्,-
दिव्यम्,-
