स्थिति,सूत्र
धर्मक्षेत्रे कुरुक्षेत्रे,-
कुरुक्षेत्रे समवेतास्,-
समवेतास् युयुत्सवस्,-
समवेतारुँ युयुत्सवस्,[[ससजुषो रुः (8.2.66)]]
समवेतार् युयुत्सवस्,[[तस्य लोपः (1.3.9)]]
समवेताय् युयुत्सवस्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
समवेता युयुत्सवस्,[[हलि सर्वेषाम् (8.3.22)]]
युयुत्सवस्,-
युयुत्सवरुँ,[[ससजुषो रुः (8.2.66)]]
युयुत्सवर्,[[तस्य लोपः (1.3.9)]]
युयुत्सवः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मामकास् पाण्डवास्,-
मामकारुँ पाण्डवास्,[[ससजुषो रुः (8.2.66)]]
मामकार् पाण्डवास्,[[तस्य लोपः (1.3.9)]]
मामकाः पाण्डवास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मामकाः पाण्डवास्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पाण्डवास् च,-
पाण्डवारुँ च,[[ससजुषो रुः (8.2.66)]]
पाण्डवार् च,[[तस्य लोपः (1.3.9)]]
पाण्डवाः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पाण्डवास् च,[[विसर्जनीयस्य सः (8.3.34)]]
पाण्डवाश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च एव,-
चैव,[[वृद्धिरेचि (6.1.88)]]
चैव किम्,-
किम् अकुर्वत,-
अकुर्वत सञ्जय,-
सञ्जय,-
