स्थिति,सूत्र
दुःखेषु अनुद्विग्नमनास्,-
दुःखेष्वनुद्विग्नमनास्,[[इको यणचि (6.1.77)]]
दुःखेष्वनुद्विग्नमनास् सुखेषु,-
दुःखेष्वनुद्विग्नमनारुँ सुखेषु,[[ससजुषो रुः (8.2.66)]]
दुःखेष्वनुद्विग्नमनार् सुखेषु,[[तस्य लोपः (1.3.9)]]
दुःखेष्वनुद्विग्नमनाः सुखेषु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
दुःखेष्वनुद्विग्नमनाः सुखेषु,[[वा शरि (8.3.36)]]
सुखेषु विगतस्पृहस्,-
विगतस्पृहस्,-
विगतस्पृहरुँ,[[ससजुषो रुः (8.2.66)]]
विगतस्पृहर्,[[तस्य लोपः (1.3.9)]]
विगतस्पृहः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
वीतरागभयक्रोधस् स्थितधीस्,-
वीतरागभयक्रोधरुँ स्थितधीस्,[[ससजुषो रुः (8.2.66)]]
वीतरागभयक्रोधर् स्थितधीस्,[[तस्य लोपः (1.3.9)]]
वीतरागभयक्रोधः स्थितधीस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
वीतरागभयक्रोधः स्थितधीस्,[[वा शरि (8.3.36)]]
स्थितधीस् मुनिस्,-
स्थितधीरुँ मुनिस्,[[ससजुषो रुः (8.2.66)]]
स्थितधीर् मुनिस्,[[तस्य लोपः (1.3.9)]]
मुनिस् उच्यते,-
मुनिरुँ उच्यते,[[ससजुषो रुः (8.2.66)]]
मुनिर् उच्यते,[[तस्य लोपः (1.3.9)]]
उच्यते,-
