स्थिति,सूत्र
भूतग्रामस् सस्,-
भूतग्रामरुँ सस्,[[ससजुषो रुः (8.2.66)]]
भूतग्रामर् सस्,[[तस्य लोपः (1.3.9)]]
भूतग्रामः सस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
भूतग्रामः सस्,[[वा शरि (8.3.36)]]
सस् एव,-
सरुँ एव,[[ससजुषो रुः (8.2.66)]]
सर् एव,[[तस्य लोपः (1.3.9)]]
सय् एव,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
स एव,[[लोपः शाकल्यस्य (8.3.19)]]
एव अयम्,-
एवायम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
एवायम् भूत्वा,-
एवायं भूत्वा,[[मोऽनुस्वारः (8.3.23)]]
भूत्वा भूत्वा,-
भूत्वा प्रलीयते,-
प्रलीयते,-
रात्रि आगमे,-
रात्र्यागमे,[[इको यणचि (6.1.77)]]
रात्र्यागमे अवशस्,-
रात्र्यागमेऽवशस्,[[एङः पदान्तादति (6.1.109)]]
रात्र्यागमेऽवशस् पार्थ,-
रात्र्यागमेऽवशरुँ पार्थ,[[ससजुषो रुः (8.2.66)]]
रात्र्यागमेऽवशर् पार्थ,[[तस्य लोपः (1.3.9)]]
रात्र्यागमेऽवशः पार्थ,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
रात्र्यागमेऽवशः पार्थ,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पार्थ प्रभवति,-
प्रभवति अहर्,-
प्रभवत्यहर्,[[इको यणचि (6.1.77)]]
प्रभवत्यहर् आगमे,-
आगमे,-
