स्थिति,सूत्र
यज्ञदानतपःकर्म न,-
न त्याज्यम्,-
त्याज्यम् कार्यम्,-
त्याज्यं कार्यम्,[[मोऽनुस्वारः (8.3.23)]]
कार्यम् एव,-
एव तत्,-
तत्,-
तद्,[[झलां जशोऽन्ते (8.2.39)]]
तत्,[[वाऽवसाने (8.4.56)]]
यज्ञस् दानम्,-
यज्ञरुँ दानम्,[[ससजुषो रुः (8.2.66)]]
यज्ञर् दानम्,[[तस्य लोपः (1.3.9)]]
यज्ञ उ दानम्,[[हशि च (6.1.114)]]
यज्ञो दानम्,[[आद्गुणः (6.1.87)]]
दानम् तपस्,-
दानं तपस्,[[मोऽनुस्वारः (8.3.23)]]
तपस् च,-
तपरुँ च,[[ससजुषो रुः (8.2.66)]]
तपर् च,[[तस्य लोपः (1.3.9)]]
तपः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तपस् च,[[विसर्जनीयस्य सः (8.3.34)]]
तपश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च एव,-
चैव,[[वृद्धिरेचि (6.1.88)]]
चैव पावनानि,-
पावनानि मनीषिणाम्,-
मनीषिणाम्,-
