स्थिति,सूत्र
लभन्ते ब्रह्मनिर्वाणम्,-
ब्रह्मनिर्वाणम् ऋषयस्,-
ऋषयस् क्षीणकल्मषास्,-
ऋषयरुँ क्षीणकल्मषास्,[[ससजुषो रुः (8.2.66)]]
ऋषयर् क्षीणकल्मषास्,[[तस्य लोपः (1.3.9)]]
ऋषयः क्षीणकल्मषास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
ऋषयः क्षीणकल्मषास्,[[शर्परे विसर्जनीयः (8.3.35)]]
क्षीणकल्मषास्,-
क्षीणकल्मषारुँ,[[ससजुषो रुः (8.2.66)]]
क्षीणकल्मषार्,[[तस्य लोपः (1.3.9)]]
क्षीणकल्मषाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
छिन्नद्वैधास् यतात्मानस्,-
छिन्नद्वैधारुँ यतात्मानस्,[[ससजुषो रुः (8.2.66)]]
छिन्नद्वैधार् यतात्मानस्,[[तस्य लोपः (1.3.9)]]
छिन्नद्वैधाय् यतात्मानस्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
छिन्नद्वैधा यतात्मानस्,[[हलि सर्वेषाम् (8.3.22)]]
यतात्मानस् सर्वभूतहिते,-
यतात्मानरुँ सर्वभूतहिते,[[ससजुषो रुः (8.2.66)]]
यतात्मानर् सर्वभूतहिते,[[तस्य लोपः (1.3.9)]]
यतात्मानः सर्वभूतहिते,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यतात्मानः सर्वभूतहिते,[[वा शरि (8.3.36)]]
सर्वभूतहिते रतास्,-
रतास्,-
रतारुँ,[[ससजुषो रुः (8.2.66)]]
रतार्,[[तस्य लोपः (1.3.9)]]
रताः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
