स्थिति,सूत्र
यस् यस्,-
यरुँ यस्,[[ससजुषो रुः (8.2.66)]]
यर् यस्,[[तस्य लोपः (1.3.9)]]
य उ यस्,[[हशि च (6.1.114)]]
यो यस्,[[आद्गुणः (6.1.87)]]
यस् याम्,-
यरुँ याम्,[[ससजुषो रुः (8.2.66)]]
यर् याम्,[[तस्य लोपः (1.3.9)]]
य उ याम्,[[हशि च (6.1.114)]]
यो याम्,[[आद्गुणः (6.1.87)]]
याम् याम्,-
यां याम्,[[मोऽनुस्वारः (8.3.23)]]
याम् तनुम्,-
यां तनुम्,[[मोऽनुस्वारः (8.3.23)]]
तनुम् भक्तस्,-
तनुं भक्तस्,[[मोऽनुस्वारः (8.3.23)]]
भक्तस् श्रद्धया,-
भक्तरुँ श्रद्धया,[[ससजुषो रुः (8.2.66)]]
भक्तर् श्रद्धया,[[तस्य लोपः (1.3.9)]]
भक्तः श्रद्धया,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
भक्तः श्रद्धया,[[वा शरि (8.3.36)]]
श्रद्धया अर्चितुम्,-
श्रद्धयार्चितुम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
श्रद्धयार्चितुम् इच्छति,-
इच्छति,-
तस्य तस्य,-
तस्य अचलाम्,-
तस्याचलाम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
तस्याचलाम् श्रद्धाम्,-
तस्याचलां श्रद्धाम्,[[मोऽनुस्वारः (8.3.23)]]
श्रद्धाम् ताम्,-
श्रद्धां ताम्,[[मोऽनुस्वारः (8.3.23)]]
ताम् एव,-
एव विदधामि,-
विदधामि अहम्,-
विदधाम्यहम्,[[इको यणचि (6.1.77)]]
विदधाम्यहम्,-
