स्थिति,सूत्र
आपूर्यमाणम् अचलप्रतिष्ठम्,-
अचलप्रतिष्ठम् समुद्रम्,-
अचलप्रतिष्ठं समुद्रम्,[[मोऽनुस्वारः (8.3.23)]]
समुद्रम् आपस्,-
आपस् प्रविशन्ति,-
आपरुँ प्रविशन्ति,[[ससजुषो रुः (8.2.66)]]
आपर् प्रविशन्ति,[[तस्य लोपः (1.3.9)]]
आपः प्रविशन्ति,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
आपः प्रविशन्ति,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रविशन्ति यद्वत्,-
यद्वत्,-
यद्वद्,[[झलां जशोऽन्ते (8.2.39)]]
यद्वत्,[[वाऽवसाने (8.4.56)]]
तद्वत् कामास्,-
तद्वद् कामास्,[[झलां जशोऽन्ते (8.2.39)]]
तद्वत् कामास्,[[खरि च (8.4.55)]]
कामास् यम्,-
कामारुँ यम्,[[ससजुषो रुः (8.2.66)]]
कामार् यम्,[[तस्य लोपः (1.3.9)]]
कामाय् यम्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
कामा यम्,[[हलि सर्वेषाम् (8.3.22)]]
यम् प्रविशन्ति,-
यं प्रविशन्ति,[[मोऽनुस्वारः (8.3.23)]]
प्रविशन्ति सर्वे,-
सर्वे सस्,-
सस् शान्तिम्,-
स शान्तिम्,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
शान्तिम् आप्नोति,-
आप्नोति न,-
न कामकामी,-
कामकामी,-
