स्थिति,सूत्र
सर्वतस् पाणिपादम्,-
सर्वतरुँ पाणिपादम्,[[ससजुषो रुः (8.2.66)]]
सर्वतर् पाणिपादम्,[[तस्य लोपः (1.3.9)]]
सर्वतः पाणिपादम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सर्वतः पाणिपादम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पाणिपादम् तत्,-
पाणिपादं तत्,[[मोऽनुस्वारः (8.3.23)]]
तत् सर्वतस्,-
तद् सर्वतस्,[[झलां जशोऽन्ते (8.2.39)]]
तत् सर्वतस्,[[खरि च (8.4.55)]]
सर्वतस् अक्षिशिरोमुखम्,-
सर्वतरुँ अक्षिशिरोमुखम्,[[ससजुषो रुः (8.2.66)]]
सर्वतर् अक्षिशिरोमुखम्,[[तस्य लोपः (1.3.9)]]
सर्वत उ अक्षिशिरोमुखम्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
सर्वतो अक्षिशिरोमुखम्,[[आद्गुणः (6.1.87)]]
सर्वतोऽक्षिशिरोमुखम्,[[एङः पदान्तादति (6.1.109)]]
सर्वतोऽक्षिशिरोमुखम्,-
सर्वतस् श्रुतिमत्,-
सर्वतरुँ श्रुतिमत्,[[ससजुषो रुः (8.2.66)]]
सर्वतर् श्रुतिमत्,[[तस्य लोपः (1.3.9)]]
सर्वतः श्रुतिमत्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सर्वतः श्रुतिमत्,[[वा शरि (8.3.36)]]
श्रुतिमत् लोके,-
श्रुतिमद् लोके,[[झलां जशोऽन्ते (8.2.39)]]
श्रुतिमल् लोके,[[तोर्लि (8.4.60)]]
लोके सर्वम्,-
सर्वम् आवृत्य,-
आवृत्य तिष्ठति,-
तिष्ठति,-
