स्थिति,सूत्र
कामात्मानस् स्वर्गपरास्,-
कामात्मानरुँ स्वर्गपरास्,[[ससजुषो रुः (8.2.66)]]
कामात्मानर् स्वर्गपरास्,[[तस्य लोपः (1.3.9)]]
कामात्मानः स्वर्गपरास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कामात्मानः स्वर्गपरास्,[[वा शरि (8.3.36)]]
स्वर्गपरास् जन्मकर्मफलप्रदाम्,-
स्वर्गपरारुँ जन्मकर्मफलप्रदाम्,[[ससजुषो रुः (8.2.66)]]
स्वर्गपरार् जन्मकर्मफलप्रदाम्,[[तस्य लोपः (1.3.9)]]
स्वर्गपराय् जन्मकर्मफलप्रदाम्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
स्वर्गपरा जन्मकर्मफलप्रदाम्,[[हलि सर्वेषाम् (8.3.22)]]
जन्मकर्मफलप्रदाम्,-
क्रियाविशेषबहुलाम् भोगैश्वर्यगतिम्,-
क्रियाविशेषबहुलां भोगैश्वर्यगतिम्,[[मोऽनुस्वारः (8.3.23)]]
भोगैश्वर्यगतिम् प्रति,-
भोगैश्वर्यगतिं प्रति,[[मोऽनुस्वारः (8.3.23)]]
प्रति,-
