स्थिति,सूत्र
यस् माम्,-
यरुँ माम्,[[ससजुषो रुः (8.2.66)]]
यर् माम्,[[तस्य लोपः (1.3.9)]]
य उ माम्,[[हशि च (6.1.114)]]
यो माम्,[[आद्गुणः (6.1.87)]]
माम् अजम्,-
अजम् अनादिम्,-
अनादिम् च,-
अनादिं च,[[मोऽनुस्वारः (8.3.23)]]
च वेत्ति,-
वेत्ति लोकमहेश्वरम्,-
लोकमहेश्वरम्,-
असम्मूढस् सस्,-
असम्मूढरुँ सस्,[[ससजुषो रुः (8.2.66)]]
असम्मूढर् सस्,[[तस्य लोपः (1.3.9)]]
असम्मूढः सस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
असम्मूढः सस्,[[वा शरि (8.3.36)]]
सस् मर्त्येषु,-
स मर्त्येषु,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
मर्त्येषु सर्वपापैस्,-
सर्वपापैस् प्रमुच्यते,-
सर्वपापैरुँ प्रमुच्यते,[[ससजुषो रुः (8.2.66)]]
सर्वपापैर् प्रमुच्यते,[[तस्य लोपः (1.3.9)]]
सर्वपापैः प्रमुच्यते,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सर्वपापैः प्रमुच्यते,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रमुच्यते,-
