स्थिति,सूत्र
उत्सन्नकुलधर्माणाम् मनुष्याणाम्,-
उत्सन्नकुलधर्माणां मनुष्याणाम्,[[मोऽनुस्वारः (8.3.23)]]
मनुष्याणाम् जनार्दन,-
मनुष्याणां जनार्दन,[[मोऽनुस्वारः (8.3.23)]]
जनार्दन,-
नरके अनियतम्,-
नरकेऽनियतम्,[[एङः पदान्तादति (6.1.109)]]
नरकेऽनियतम् वासस्,-
नरकेऽनियतं वासस्,[[मोऽनुस्वारः (8.3.23)]]
वासस् भवति,-
वासरुँ भवति,[[ससजुषो रुः (8.2.66)]]
वासर् भवति,[[तस्य लोपः (1.3.9)]]
वास उ भवति,[[हशि च (6.1.114)]]
वासो भवति,[[आद्गुणः (6.1.87)]]
भवति इति,-
भवतीति,[[अकः सवर्णे दीर्घः (6.1.101)]]
भवतीति अनुशुश्रुम,-
भवतीत्यनुशुश्रुम,[[इको यणचि (6.1.77)]]
भवतीत्यनुशुश्रुम,-
