स्थिति,सूत्र
न एव,-
नैव,[[वृद्धिरेचि (6.1.88)]]
नैव तस्य,-
तस्य कृतेन,-
कृतेन अर्थस्,-
कृतेनार्थस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
कृतेनार्थस् न,-
कृतेनार्थरुँ न,[[ससजुषो रुः (8.2.66)]]
कृतेनार्थर् न,[[तस्य लोपः (1.3.9)]]
कृतेनार्थ उ न,[[हशि च (6.1.114)]]
कृतेनार्थो न,[[आद्गुणः (6.1.87)]]
न अकृतेन,-
नाकृतेन,[[अकः सवर्णे दीर्घः (6.1.101)]]
नाकृतेन इह,-
नाकृतेनेह,[[आद्गुणः (6.1.87)]]
नाकृतेनेह कश्चन,-
कश्चन,-
न च,-
च अस्य,-
चास्य,[[अकः सवर्णे दीर्घः (6.1.101)]]
चास्य सर्वभूतेषु,-
सर्वभूतेषु कश्चित्,-
कश्चित् अर्थव्यपाश्रयस्,-
कश्चिद् अर्थव्यपाश्रयस्,[[झलां जशोऽन्ते (8.2.39)]]
अर्थव्यपाश्रयस्,-
अर्थव्यपाश्रयरुँ,[[ससजुषो रुः (8.2.66)]]
अर्थव्यपाश्रयर्,[[तस्य लोपः (1.3.9)]]
अर्थव्यपाश्रयः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
