स्थिति,सूत्र
ततस् श्वेतैस्,-
ततरुँ श्वेतैस्,[[ससजुषो रुः (8.2.66)]]
ततर् श्वेतैस्,[[तस्य लोपः (1.3.9)]]
ततः श्वेतैस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
ततः श्वेतैस्,[[वा शरि (8.3.36)]]
श्वेतैस् हयैस्,-
श्वेतैरुँ हयैस्,[[ससजुषो रुः (8.2.66)]]
श्वेतैर् हयैस्,[[तस्य लोपः (1.3.9)]]
हयैस् युक्ते,-
हयैरुँ युक्ते,[[ससजुषो रुः (8.2.66)]]
हयैर् युक्ते,[[तस्य लोपः (1.3.9)]]
युक्ते महति,-
महति स्यन्दने,-
स्यन्दने स्थितौ,-
स्थितौ,-
माधवस् पाण्डवस्,-
माधवरुँ पाण्डवस्,[[ससजुषो रुः (8.2.66)]]
माधवर् पाण्डवस्,[[तस्य लोपः (1.3.9)]]
माधवः पाण्डवस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
माधवः पाण्डवस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पाण्डवस् च,-
पाण्डवरुँ च,[[ससजुषो रुः (8.2.66)]]
पाण्डवर् च,[[तस्य लोपः (1.3.9)]]
पाण्डवः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पाण्डवस् च,[[विसर्जनीयस्य सः (8.3.34)]]
पाण्डवश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च एव,-
चैव,[[वृद्धिरेचि (6.1.88)]]
चैव दिव्यौ,-
दिव्यौ शङ्खौ,-
शङ्खौ प्रदध्मतुस्,-
प्रदध्मतुस्,-
प्रदध्मतुरुँ,[[ससजुषो रुः (8.2.66)]]
प्रदध्मतुर्,[[तस्य लोपः (1.3.9)]]
प्रदध्मतुः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
