स्थिति,सूत्र
यज्ञे तपसि,-
तपसि दाने,-
दाने च,-
च स्थितिस्,-
स्थितिस् सत्,-
स्थितिरुँ सत्,[[ससजुषो रुः (8.2.66)]]
स्थितिर् सत्,[[तस्य लोपः (1.3.9)]]
स्थितिः सत्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
स्थितिः सत्,[[वा शरि (8.3.36)]]
सत् इति,-
सद् इति,[[झलां जशोऽन्ते (8.2.39)]]
इति च,-
च उच्यते,-
चोच्यते,[[आद्गुणः (6.1.87)]]
चोच्यते,-
कर्म च,-
च एव,-
चैव,[[वृद्धिरेचि (6.1.88)]]
चैव तदर्थीयम्,-
तदर्थीयम् सत्,-
तदर्थीयं सत्,[[मोऽनुस्वारः (8.3.23)]]
सत् इति,-
सद् इति,[[झलां जशोऽन्ते (8.2.39)]]
इति एव,-
इत्येव,[[इको यणचि (6.1.77)]]
इत्येव अभिधीयते,-
इत्येवाभिधीयते,[[अकः सवर्णे दीर्घः (6.1.101)]]
इत्येवाभिधीयते,-
