स्थिति,सूत्र
यस् तु,-
यरुँ तु,[[ससजुषो रुः (8.2.66)]]
यर् तु,[[तस्य लोपः (1.3.9)]]
यः तु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यस् तु,[[विसर्जनीयस्य सः (8.3.34)]]
तु आत्मरतिस्,-
त्वात्मरतिस्,[[इको यणचि (6.1.77)]]
त्वात्मरतिस् एव,-
त्वात्मरतिरुँ एव,[[ससजुषो रुः (8.2.66)]]
त्वात्मरतिर् एव,[[तस्य लोपः (1.3.9)]]
एव स्यात्,-
स्यात् आत्मतृप्तस्,-
स्याद् आत्मतृप्तस्,[[झलां जशोऽन्ते (8.2.39)]]
आत्मतृप्तस् च,-
आत्मतृप्तरुँ च,[[ससजुषो रुः (8.2.66)]]
आत्मतृप्तर् च,[[तस्य लोपः (1.3.9)]]
आत्मतृप्तः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
आत्मतृप्तस् च,[[विसर्जनीयस्य सः (8.3.34)]]
आत्मतृप्तश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च मानवस्,-
मानवस्,-
मानवरुँ,[[ससजुषो रुः (8.2.66)]]
मानवर्,[[तस्य लोपः (1.3.9)]]
मानवः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
आत्मनि एव,-
आत्मन्येव,[[इको यणचि (6.1.77)]]
आत्मन्येव च,-
च सन्तुष्टस्,-
सन्तुष्टस् तस्य,-
सन्तुष्टरुँ तस्य,[[ससजुषो रुः (8.2.66)]]
सन्तुष्टर् तस्य,[[तस्य लोपः (1.3.9)]]
सन्तुष्टः तस्य,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सन्तुष्टस् तस्य,[[विसर्जनीयस्य सः (8.3.34)]]
तस्य कार्यम्,-
कार्यम् न,-
कार्यं न,[[मोऽनुस्वारः (8.3.23)]]
न विद्यते,-
विद्यते,-
