स्थिति,सूत्र
काम्यानाम् कर्मणाम्,-
काम्यानां कर्मणाम्,[[मोऽनुस्वारः (8.3.23)]]
कर्मणाम् न्यासम्,-
कर्मणां न्यासम्,[[मोऽनुस्वारः (8.3.23)]]
न्यासम् संन्यासम्,-
न्यासं संन्यासम्,[[मोऽनुस्वारः (8.3.23)]]
संन्यासम् कवयस्,-
संन्यासं कवयस्,[[मोऽनुस्वारः (8.3.23)]]
कवयस् विदुस्,-
कवयरुँ विदुस्,[[ससजुषो रुः (8.2.66)]]
कवयर् विदुस्,[[तस्य लोपः (1.3.9)]]
कवय उ विदुस्,[[हशि च (6.1.114)]]
कवयो विदुस्,[[आद्गुणः (6.1.87)]]
विदुस्,-
विदुरुँ,[[ससजुषो रुः (8.2.66)]]
विदुर्,[[तस्य लोपः (1.3.9)]]
विदुः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सर्वकर्मफलत्यागम् प्राहुस्,-
सर्वकर्मफलत्यागं प्राहुस्,[[मोऽनुस्वारः (8.3.23)]]
प्राहुस् त्यागम्,-
प्राहुरुँ त्यागम्,[[ससजुषो रुः (8.2.66)]]
प्राहुर् त्यागम्,[[तस्य लोपः (1.3.9)]]
प्राहुः त्यागम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
प्राहुस् त्यागम्,[[विसर्जनीयस्य सः (8.3.34)]]
त्यागम् विचक्षणास्,-
त्यागं विचक्षणास्,[[मोऽनुस्वारः (8.3.23)]]
विचक्षणास्,-
विचक्षणारुँ,[[ससजुषो रुः (8.2.66)]]
विचक्षणार्,[[तस्य लोपः (1.3.9)]]
विचक्षणाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
