स्थिति,सूत्र
विहाय कामान्,-
कामान् यस्,-
यस् सर्वान्,-
यरुँ सर्वान्,[[ससजुषो रुः (8.2.66)]]
यर् सर्वान्,[[तस्य लोपः (1.3.9)]]
यः सर्वान्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यः सर्वान्,[[वा शरि (8.3.36)]]
सर्वान् पुमान्,-
पुमान् चरति,-
पुमांरुँ चरति,[[नश्छव्यप्रशान् (8.3.7)]]
पुमांर् चरति,[[तस्य लोपः (1.3.9)]]
पुमांः चरति,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पुमांस् चरति,[[विसर्जनीयस्य सः (8.3.34)]]
पुमांश् चरति,[[स्तोः श्चुना श्चुः (8.4.40)]]
चरति निःस्पृहस्,-
निःस्पृहस्,-
निःस्पृहरुँ,[[ससजुषो रुः (8.2.66)]]
निःस्पृहर्,[[तस्य लोपः (1.3.9)]]
निःस्पृहः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
निर्ममस् निरहङ्कारस्,-
निर्ममरुँ निरहङ्कारस्,[[ससजुषो रुः (8.2.66)]]
निर्ममर् निरहङ्कारस्,[[तस्य लोपः (1.3.9)]]
निर्मम उ निरहङ्कारस्,[[हशि च (6.1.114)]]
निर्ममो निरहङ्कारस्,[[आद्गुणः (6.1.87)]]
निरहङ्कारस् सस्,-
निरहङ्काररुँ सस्,[[ससजुषो रुः (8.2.66)]]
निरहङ्कारर् सस्,[[तस्य लोपः (1.3.9)]]
निरहङ्कारः सस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
निरहङ्कारः सस्,[[वा शरि (8.3.36)]]
सस् शान्तिम्,-
स शान्तिम्,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
शान्तिम् अधिगच्छति,-
अधिगच्छति,-
