स्थिति,सूत्र
नभःस्पृशं दीप्तमनेकवर्णम्,-
दीप्तमनेकवर्णम् व्यात्ताननम्,-
दीप्तमनेकवर्णं व्यात्ताननम्,[[मोऽनुस्वारः (8.3.23)]]
व्यात्ताननम् दीप्तविशालनेत्रम्,-
व्यात्ताननं दीप्तविशालनेत्रम्,[[मोऽनुस्वारः (8.3.23)]]
दीप्तविशालनेत्रम्,-
दृष्ट्वा हि,-
हि त्वाम्,-
त्वाम् प्रव्यथितान्तरात्मा,-
त्वां प्रव्यथितान्तरात्मा,[[मोऽनुस्वारः (8.3.23)]]
प्रव्यथितान्तरात्मा धृतिम्,-
धृतिम् न,-
धृतिं न,[[मोऽनुस्वारः (8.3.23)]]
न विन्दामि,-
विन्दामि शमम्,-
शमम् च,-
शमं च,[[मोऽनुस्वारः (8.3.23)]]
च विष्णो,-
विष्णो,-
