स्थिति,सूत्र
सुदुर्दर्शम् इदम्,-
इदम् रूपम्,-
इदं रूपम्,[[मोऽनुस्वारः (8.3.23)]]
रूपम् दृष्टवान्,-
रूपं दृष्टवान्,[[मोऽनुस्वारः (8.3.23)]]
दृष्टवान् असि,-
असि यत्,-
यत् मम,-
यद् मम,[[झलां जशोऽन्ते (8.2.39)]]
यन् मम,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
मम,-
देवास् अपि,-
देवारुँ अपि,[[ससजुषो रुः (8.2.66)]]
देवार् अपि,[[तस्य लोपः (1.3.9)]]
देवाय् अपि,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
देवा अपि,[[लोपः शाकल्यस्य (8.3.19)]]
अपि अस्य,-
अप्यस्य,[[इको यणचि (6.1.77)]]
अप्यस्य रूपस्य,-
रूपस्य नित्यम्,-
नित्यम् दर्शनकाङ्क्षिणस्,-
नित्यं दर्शनकाङ्क्षिणस्,[[मोऽनुस्वारः (8.3.23)]]
दर्शनकाङ्क्षिणस्,-
दर्शनकाङ्क्षिणरुँ,[[ससजुषो रुः (8.2.66)]]
दर्शनकाङ्क्षिणर्,[[तस्य लोपः (1.3.9)]]
दर्शनकाङ्क्षिणः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
