स्थिति,सूत्र
इन्द्रियाणाम् हि,-
इन्द्रियाणां हि,[[मोऽनुस्वारः (8.3.23)]]
हि चरताम्,-
चरताम् यत्,-
चरतां यत्,[[मोऽनुस्वारः (8.3.23)]]
यत् मनस्,-
यद् मनस्,[[झलां जशोऽन्ते (8.2.39)]]
यन् मनस्,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
मनस् अनुविधीयते,-
मनरुँ अनुविधीयते,[[ससजुषो रुः (8.2.66)]]
मनर् अनुविधीयते,[[तस्य लोपः (1.3.9)]]
मन उ अनुविधीयते,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
मनो अनुविधीयते,[[आद्गुणः (6.1.87)]]
मनोऽनुविधीयते,[[एङः पदान्तादति (6.1.109)]]
मनोऽनुविधीयते,-
तत् अस्य,-
तद् अस्य,[[झलां जशोऽन्ते (8.2.39)]]
अस्य हरति,-
हरति प्रज्ञाम्,-
प्रज्ञाम् वायुस्,-
प्रज्ञां वायुस्,[[मोऽनुस्वारः (8.3.23)]]
वायुस् नावम्,-
वायुरुँ नावम्,[[ससजुषो रुः (8.2.66)]]
वायुर् नावम्,[[तस्य लोपः (1.3.9)]]
नावम् इव,-
इव अम्भसि,-
इवाम्भसि,[[अकः सवर्णे दीर्घः (6.1.101)]]
इवाम्भसि,-
