स्थिति,सूत्र
अनपेक्षस् शुचिस्,-
अनपेक्षरुँ शुचिस्,[[ससजुषो रुः (8.2.66)]]
अनपेक्षर् शुचिस्,[[तस्य लोपः (1.3.9)]]
अनपेक्षः शुचिस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अनपेक्षः शुचिस्,[[वा शरि (8.3.36)]]
शुचिस् दक्षस्,-
शुचिरुँ दक्षस्,[[ससजुषो रुः (8.2.66)]]
शुचिर् दक्षस्,[[तस्य लोपः (1.3.9)]]
दक्षस् उदासीनस्,-
दक्षरुँ उदासीनस्,[[ससजुषो रुः (8.2.66)]]
दक्षर् उदासीनस्,[[तस्य लोपः (1.3.9)]]
दक्षय् उदासीनस्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
दक्ष उदासीनस्,[[लोपः शाकल्यस्य (8.3.19)]]
उदासीनस् गतव्यथस्,-
उदासीनरुँ गतव्यथस्,[[ससजुषो रुः (8.2.66)]]
उदासीनर् गतव्यथस्,[[तस्य लोपः (1.3.9)]]
उदासीन उ गतव्यथस्,[[हशि च (6.1.114)]]
उदासीनो गतव्यथस्,[[आद्गुणः (6.1.87)]]
गतव्यथस्,-
गतव्यथरुँ,[[ससजुषो रुः (8.2.66)]]
गतव्यथर्,[[तस्य लोपः (1.3.9)]]
गतव्यथः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सर्वारम्भपरित्यागी यस्,-
यस् मद्भक्तस्,-
यरुँ मद्भक्तस्,[[ससजुषो रुः (8.2.66)]]
यर् मद्भक्तस्,[[तस्य लोपः (1.3.9)]]
य उ मद्भक्तस्,[[हशि च (6.1.114)]]
यो मद्भक्तस्,[[आद्गुणः (6.1.87)]]
मद्भक्तस् सस्,-
मद्भक्तरुँ सस्,[[ससजुषो रुः (8.2.66)]]
मद्भक्तर् सस्,[[तस्य लोपः (1.3.9)]]
मद्भक्तः सस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मद्भक्तः सस्,[[वा शरि (8.3.36)]]
सस् मे,-
स मे,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
मे प्रियस्,-
प्रियस्,-
प्रियरुँ,[[ससजुषो रुः (8.2.66)]]
प्रियर्,[[तस्य लोपः (1.3.9)]]
प्रियः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
