स्थिति,सूत्र
किम् कर्म,-
किं कर्म,[[मोऽनुस्वारः (8.3.23)]]
कर्म किम्,-
किम् अकर्म,-
अकर्म इति,-
अकर्मेति,[[आद्गुणः (6.1.87)]]
अकर्मेति कवयस्,-
कवयस् अपि,-
कवयरुँ अपि,[[ससजुषो रुः (8.2.66)]]
कवयर् अपि,[[तस्य लोपः (1.3.9)]]
कवय उ अपि,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
कवयो अपि,[[आद्गुणः (6.1.87)]]
कवयोऽपि,[[एङः पदान्तादति (6.1.109)]]
कवयोऽपि अत्र,-
कवयोऽप्यत्र,[[इको यणचि (6.1.77)]]
कवयोऽप्यत्र मोहितास्,-
मोहितास्,-
मोहितारुँ,[[ससजुषो रुः (8.2.66)]]
मोहितार्,[[तस्य लोपः (1.3.9)]]
मोहिताः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तत् ते,-
तद् ते,[[झलां जशोऽन्ते (8.2.39)]]
तत् ते,[[खरि च (8.4.55)]]
ते कर्म,-
कर्म प्रवक्ष्यामि,-
प्रवक्ष्यामि यत्,-
यत् ज्ञात्वा,-
यद् ज्ञात्वा,[[झलां जशोऽन्ते (8.2.39)]]
यज् ज्ञात्वा,[[स्तोः श्चुना श्चुः (8.4.40)]]
ज्ञात्वा मोक्ष्यसे,-
मोक्ष्यसे अशुभात्,-
मोक्ष्यसेऽशुभात्,[[एङः पदान्तादति (6.1.109)]]
मोक्ष्यसेऽशुभात्,-
मोक्ष्यसेऽशुभाद्,[[झलां जशोऽन्ते (8.2.39)]]
मोक्ष्यसेऽशुभात्,[[वाऽवसाने (8.4.56)]]
