स्थिति,सूत्र
संन्यासस् तु,-
संन्यासरुँ तु,[[ससजुषो रुः (8.2.66)]]
संन्यासर् तु,[[तस्य लोपः (1.3.9)]]
संन्यासः तु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
संन्यासस् तु,[[विसर्जनीयस्य सः (8.3.34)]]
तु महाबाहो,-
महाबाहो दुःखम्,-
दुःखम् आप्तुम्,-
आप्तुम् अयोगतस्,-
अयोगतस्,-
अयोगतरुँ,[[ससजुषो रुः (8.2.66)]]
अयोगतर्,[[तस्य लोपः (1.3.9)]]
अयोगतः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
योगयुक्तस् मुनिस्,-
योगयुक्तरुँ मुनिस्,[[ससजुषो रुः (8.2.66)]]
योगयुक्तर् मुनिस्,[[तस्य लोपः (1.3.9)]]
योगयुक्त उ मुनिस्,[[हशि च (6.1.114)]]
योगयुक्तो मुनिस्,[[आद्गुणः (6.1.87)]]
मुनिस् ब्रह्म,-
मुनिरुँ ब्रह्म,[[ससजुषो रुः (8.2.66)]]
मुनिर् ब्रह्म,[[तस्य लोपः (1.3.9)]]
ब्रह्म नचिरेण,-
नचिरेण अधिगच्छति,-
नचिरेणाधिगच्छति,[[अकः सवर्णे दीर्घः (6.1.101)]]
नचिरेणाधिगच्छति,-
