स्थिति,सूत्र
यत् तु,-
यद् तु,[[झलां जशोऽन्ते (8.2.39)]]
यत् तु,[[खरि च (8.4.55)]]
तु प्रत्युपकारार्थम्,-
प्रत्युपकारार्थम् फलम्,-
प्रत्युपकारार्थं फलम्,[[मोऽनुस्वारः (8.3.23)]]
फलम् उद्दिश्य,-
उद्दिश्य वा,-
वा पुनर्,-
पुनर्,-
पुनः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
दीयते च,-
च परिक्लिष्टम्,-
परिक्लिष्टम् तत्,-
परिक्लिष्टं तत्,[[मोऽनुस्वारः (8.3.23)]]
तत् दानम्,-
तद् दानम्,[[झलां जशोऽन्ते (8.2.39)]]
दानम् राजसम्,-
दानं राजसम्,[[मोऽनुस्वारः (8.3.23)]]
राजसम् स्मृतम्,-
राजसं स्मृतम्,[[मोऽनुस्वारः (8.3.23)]]
स्मृतम्,-
