स्थिति,सूत्र
ततस् सस्,-
ततरुँ सस्,[[ससजुषो रुः (8.2.66)]]
ततर् सस्,[[तस्य लोपः (1.3.9)]]
ततः सस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
ततः सस्,[[वा शरि (8.3.36)]]
सस् विस्मयाविष्टस्,-
स विस्मयाविष्टस्,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
विस्मयाविष्टस् हृष्टरोमा,-
विस्मयाविष्टरुँ हृष्टरोमा,[[ससजुषो रुः (8.2.66)]]
विस्मयाविष्टर् हृष्टरोमा,[[तस्य लोपः (1.3.9)]]
विस्मयाविष्ट उ हृष्टरोमा,[[हशि च (6.1.114)]]
विस्मयाविष्टो हृष्टरोमा,[[आद्गुणः (6.1.87)]]
हृष्टरोमा धनञ्जयस्,-
धनञ्जयस्,-
धनञ्जयरुँ,[[ससजुषो रुः (8.2.66)]]
धनञ्जयर्,[[तस्य लोपः (1.3.9)]]
धनञ्जयः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
प्रणम्य शिरसा,-
शिरसा देवम्,-
देवम् कृताञ्जलिस्,-
देवं कृताञ्जलिस्,[[मोऽनुस्वारः (8.3.23)]]
कृताञ्जलिस् अभाषत,-
कृताञ्जलिरुँ अभाषत,[[ससजुषो रुः (8.2.66)]]
कृताञ्जलिर् अभाषत,[[तस्य लोपः (1.3.9)]]
अभाषत,-
