स्थिति,सूत्र
नियतम् कुरु,-
नियतं कुरु,[[मोऽनुस्वारः (8.3.23)]]
कुरु कर्म,-
कर्म त्वम्,-
त्वम् कर्म,-
त्वं कर्म,[[मोऽनुस्वारः (8.3.23)]]
कर्म ज्यायस्,-
ज्यायस् हि,-
ज्यायरुँ हि,[[ससजुषो रुः (8.2.66)]]
ज्यायर् हि,[[तस्य लोपः (1.3.9)]]
ज्याय उ हि,[[हशि च (6.1.114)]]
ज्यायो हि,[[आद्गुणः (6.1.87)]]
हि अकर्मणस्,-
ह्यकर्मणस्,[[इको यणचि (6.1.77)]]
ह्यकर्मणस्,-
ह्यकर्मणरुँ,[[ससजुषो रुः (8.2.66)]]
ह्यकर्मणर्,[[तस्य लोपः (1.3.9)]]
ह्यकर्मणः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
शरीरयात्रा अपि,-
शरीरयात्रापि,[[अकः सवर्णे दीर्घः (6.1.101)]]
शरीरयात्रापि च,-
च ते,-
ते न,-
न प्रसिद्ध्येत्,-
प्रसिद्ध्येत् अकर्मणस्,-
प्रसिद्ध्येद् अकर्मणस्,[[झलां जशोऽन्ते (8.2.39)]]
अकर्मणस्,-
अकर्मणरुँ,[[ससजुषो रुः (8.2.66)]]
अकर्मणर्,[[तस्य लोपः (1.3.9)]]
अकर्मणः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
