स्थिति,सूत्र
गाम् आविश्य,-
आविश्य च,-
च भूतानि,-
भूतानि धारयामि,-
धारयामि अहम्,-
धारयाम्यहम्,[[इको यणचि (6.1.77)]]
धारयाम्यहम् ओजसा,-
ओजसा,-
पुष्णामि च,-
च ओषधीस्,-
चौषधीस्,[[वृद्धिरेचि (6.1.88)]]
चौषधीस् सर्वास्,-
चौषधीरुँ सर्वास्,[[ससजुषो रुः (8.2.66)]]
चौषधीर् सर्वास्,[[तस्य लोपः (1.3.9)]]
चौषधीः सर्वास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
चौषधीः सर्वास्,[[वा शरि (8.3.36)]]
सर्वास् सोमस्,-
सर्वारुँ सोमस्,[[ससजुषो रुः (8.2.66)]]
सर्वार् सोमस्,[[तस्य लोपः (1.3.9)]]
सर्वाः सोमस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सर्वाः सोमस्,[[वा शरि (8.3.36)]]
सोमस् भूत्वा,-
सोमरुँ भूत्वा,[[ससजुषो रुः (8.2.66)]]
सोमर् भूत्वा,[[तस्य लोपः (1.3.9)]]
सोम उ भूत्वा,[[हशि च (6.1.114)]]
सोमो भूत्वा,[[आद्गुणः (6.1.87)]]
भूत्वा रसात्मकस्,-
रसात्मकस्,-
रसात्मकरुँ,[[ससजुषो रुः (8.2.66)]]
रसात्मकर्,[[तस्य लोपः (1.3.9)]]
रसात्मकः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
