स्थिति,सूत्र
उपद्रष्टा अनुमन्ता,-
उपद्रष्टानुमन्ता,[[अकः सवर्णे दीर्घः (6.1.101)]]
उपद्रष्टानुमन्ता च,-
च भर्ता,-
भर्ता भोक्ता,-
भोक्ता महेश्वरस्,-
महेश्वरस्,-
महेश्वररुँ,[[ससजुषो रुः (8.2.66)]]
महेश्वरर्,[[तस्य लोपः (1.3.9)]]
महेश्वरः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
परमात्मा इति,-
परमात्मेति,[[आद्गुणः (6.1.87)]]
परमात्मेति च,-
च अपि,-
चापि,[[अकः सवर्णे दीर्घः (6.1.101)]]
चापि उक्तस्,-
चाप्युक्तस्,[[इको यणचि (6.1.77)]]
चाप्युक्तस् देहे,-
चाप्युक्तरुँ देहे,[[ससजुषो रुः (8.2.66)]]
चाप्युक्तर् देहे,[[तस्य लोपः (1.3.9)]]
चाप्युक्त उ देहे,[[हशि च (6.1.114)]]
चाप्युक्तो देहे,[[आद्गुणः (6.1.87)]]
देहे अस्मिन्,-
देहेऽस्मिन्,[[एङः पदान्तादति (6.1.109)]]
देहेऽस्मिन् पुरुषस्,-
पुरुषस् परस्,-
पुरुषरुँ परस्,[[ससजुषो रुः (8.2.66)]]
पुरुषर् परस्,[[तस्य लोपः (1.3.9)]]
पुरुषः परस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पुरुषः परस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
परस्,-
पररुँ,[[ससजुषो रुः (8.2.66)]]
परर्,[[तस्य लोपः (1.3.9)]]
परः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
