स्थिति,सूत्र
न असतस्,-
नासतस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
नासतस् विद्यते,-
नासतरुँ विद्यते,[[ससजुषो रुः (8.2.66)]]
नासतर् विद्यते,[[तस्य लोपः (1.3.9)]]
नासत उ विद्यते,[[हशि च (6.1.114)]]
नासतो विद्यते,[[आद्गुणः (6.1.87)]]
विद्यते भावस्,-
भावस् न,-
भावरुँ न,[[ससजुषो रुः (8.2.66)]]
भावर् न,[[तस्य लोपः (1.3.9)]]
भाव उ न,[[हशि च (6.1.114)]]
भावो न,[[आद्गुणः (6.1.87)]]
न अभावस्,-
नाभावस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
नाभावस् विद्यते,-
नाभावरुँ विद्यते,[[ससजुषो रुः (8.2.66)]]
नाभावर् विद्यते,[[तस्य लोपः (1.3.9)]]
नाभाव उ विद्यते,[[हशि च (6.1.114)]]
नाभावो विद्यते,[[आद्गुणः (6.1.87)]]
विद्यते सतस्,-
सतस्,-
सतरुँ,[[ससजुषो रुः (8.2.66)]]
सतर्,[[तस्य लोपः (1.3.9)]]
सतः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
उभयोस् अपि,-
उभयोरुँ अपि,[[ससजुषो रुः (8.2.66)]]
उभयोर् अपि,[[तस्य लोपः (1.3.9)]]
अपि दृष्टस्,-
दृष्टस् अन्तस्,-
दृष्टरुँ अन्तस्,[[ससजुषो रुः (8.2.66)]]
दृष्टर् अन्तस्,[[तस्य लोपः (1.3.9)]]
दृष्ट उ अन्तस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
दृष्टो अन्तस्,[[आद्गुणः (6.1.87)]]
दृष्टोऽन्तस्,[[एङः पदान्तादति (6.1.109)]]
दृष्टोऽन्तस् तु,-
दृष्टोऽन्तरुँ तु,[[ससजुषो रुः (8.2.66)]]
दृष्टोऽन्तर् तु,[[तस्य लोपः (1.3.9)]]
दृष्टोऽन्तः तु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
दृष्टोऽन्तस् तु,[[विसर्जनीयस्य सः (8.3.34)]]
तु अनयोस्,-
त्वनयोस्,[[इको यणचि (6.1.77)]]
त्वनयोस् तत्त्वदर्शिभिस्,-
त्वनयोरुँ तत्त्वदर्शिभिस्,[[ससजुषो रुः (8.2.66)]]
त्वनयोर् तत्त्वदर्शिभिस्,[[तस्य लोपः (1.3.9)]]
त्वनयोः तत्त्वदर्शिभिस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
त्वनयोस् तत्त्वदर्शिभिस्,[[विसर्जनीयस्य सः (8.3.34)]]
तत्त्वदर्शिभिस्,-
तत्त्वदर्शिभिरुँ,[[ससजुषो रुः (8.2.66)]]
तत्त्वदर्शिभिर्,[[तस्य लोपः (1.3.9)]]
तत्त्वदर्शिभिः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
