स्थिति,सूत्र
ततस् पदम्,-
ततरुँ पदम्,[[ससजुषो रुः (8.2.66)]]
ततर् पदम्,[[तस्य लोपः (1.3.9)]]
ततः पदम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
ततः पदम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पदम् तत्,-
पदं तत्,[[मोऽनुस्वारः (8.3.23)]]
तत् परिमार्गितव्यम्,-
तद् परिमार्गितव्यम्,[[झलां जशोऽन्ते (8.2.39)]]
तत् परिमार्गितव्यम्,[[खरि च (8.4.55)]]
परिमार्गितव्यम् यस्मिन्,-
परिमार्गितव्यं यस्मिन्,[[मोऽनुस्वारः (8.3.23)]]
यस्मिन् गतास्,-
गतास् न,-
गतारुँ न,[[ससजुषो रुः (8.2.66)]]
गतार् न,[[तस्य लोपः (1.3.9)]]
गताय् न,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
गता न,[[हलि सर्वेषाम् (8.3.22)]]
न निवर्तन्ति,-
निवर्तन्ति भूयस्,-
भूयस्,-
भूयरुँ,[[ससजुषो रुः (8.2.66)]]
भूयर्,[[तस्य लोपः (1.3.9)]]
भूयः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तम् एव,-
एव च,-
च आद्यम्,-
चाद्यम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
चाद्यम् पुरुषम्,-
चाद्यं पुरुषम्,[[मोऽनुस्वारः (8.3.23)]]
पुरुषम् प्रपद्ये,-
पुरुषं प्रपद्ये,[[मोऽनुस्वारः (8.3.23)]]
प्रपद्ये,-
यतस् प्रवृत्तिस्,-
यतरुँ प्रवृत्तिस्,[[ससजुषो रुः (8.2.66)]]
यतर् प्रवृत्तिस्,[[तस्य लोपः (1.3.9)]]
यतः प्रवृत्तिस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यतः प्रवृत्तिस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रवृत्तिस् प्रसृता,-
प्रवृत्तिरुँ प्रसृता,[[ससजुषो रुः (8.2.66)]]
प्रवृत्तिर् प्रसृता,[[तस्य लोपः (1.3.9)]]
प्रवृत्तिः प्रसृता,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
प्रवृत्तिः प्रसृता,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रसृता पुराणी,-
पुराणी,-
