स्थिति,सूत्र
निराशीस् यतचित्तात्मा,-
निराशीरुँ यतचित्तात्मा,[[ससजुषो रुः (8.2.66)]]
निराशीर् यतचित्तात्मा,[[तस्य लोपः (1.3.9)]]
यतचित्तात्मा त्यक्तसर्वपरिग्रहस्,-
त्यक्तसर्वपरिग्रहस्,-
त्यक्तसर्वपरिग्रहरुँ,[[ससजुषो रुः (8.2.66)]]
त्यक्तसर्वपरिग्रहर्,[[तस्य लोपः (1.3.9)]]
त्यक्तसर्वपरिग्रहः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
शारीरम् केवलम्,-
शारीरं केवलम्,[[मोऽनुस्वारः (8.3.23)]]
केवलम् कर्म,-
केवलं कर्म,[[मोऽनुस्वारः (8.3.23)]]
कर्म कुर्वन्,-
कुर्वन् न,-
न आप्नोति,-
नाप्नोति,[[अकः सवर्णे दीर्घः (6.1.101)]]
नाप्नोति किल्बिषम्,-
किल्बिषम्,-
