स्थिति,सूत्र
समदुःखसुखस् स्वस्थस्,-
समदुःखसुखरुँ स्वस्थस्,[[ससजुषो रुः (8.2.66)]]
समदुःखसुखर् स्वस्थस्,[[तस्य लोपः (1.3.9)]]
समदुःखसुखः स्वस्थस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
समदुःखसुखः स्वस्थस्,[[वा शरि (8.3.36)]]
स्वस्थस् समलोष्टाश्मकाञ्चनस्,-
स्वस्थरुँ समलोष्टाश्मकाञ्चनस्,[[ससजुषो रुः (8.2.66)]]
स्वस्थर् समलोष्टाश्मकाञ्चनस्,[[तस्य लोपः (1.3.9)]]
स्वस्थः समलोष्टाश्मकाञ्चनस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
स्वस्थः समलोष्टाश्मकाञ्चनस्,[[वा शरि (8.3.36)]]
समलोष्टाश्मकाञ्चनस्,-
समलोष्टाश्मकाञ्चनरुँ,[[ससजुषो रुः (8.2.66)]]
समलोष्टाश्मकाञ्चनर्,[[तस्य लोपः (1.3.9)]]
समलोष्टाश्मकाञ्चनः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तुल्यप्रियाप्रियस् धीरस्,-
तुल्यप्रियाप्रियरुँ धीरस्,[[ससजुषो रुः (8.2.66)]]
तुल्यप्रियाप्रियर् धीरस्,[[तस्य लोपः (1.3.9)]]
तुल्यप्रियाप्रिय उ धीरस्,[[हशि च (6.1.114)]]
तुल्यप्रियाप्रियो धीरस्,[[आद्गुणः (6.1.87)]]
धीरस् तुल्यनिन्दात्मसंस्तुतिस्,-
धीररुँ तुल्यनिन्दात्मसंस्तुतिस्,[[ससजुषो रुः (8.2.66)]]
धीरर् तुल्यनिन्दात्मसंस्तुतिस्,[[तस्य लोपः (1.3.9)]]
धीरः तुल्यनिन्दात्मसंस्तुतिस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
धीरस् तुल्यनिन्दात्मसंस्तुतिस्,[[विसर्जनीयस्य सः (8.3.34)]]
तुल्यनिन्दात्मसंस्तुतिस्,-
तुल्यनिन्दात्मसंस्तुतिरुँ,[[ससजुषो रुः (8.2.66)]]
तुल्यनिन्दात्मसंस्तुतिर्,[[तस्य लोपः (1.3.9)]]
तुल्यनिन्दात्मसंस्तुतिः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
