स्थिति,सूत्र
कर्मजम् बुद्धियुक्तास्,-
कर्मजं बुद्धियुक्तास्,[[मोऽनुस्वारः (8.3.23)]]
बुद्धियुक्तास् हि,-
बुद्धियुक्तारुँ हि,[[ससजुषो रुः (8.2.66)]]
बुद्धियुक्तार् हि,[[तस्य लोपः (1.3.9)]]
बुद्धियुक्ताय् हि,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
बुद्धियुक्ता हि,[[हलि सर्वेषाम् (8.3.22)]]
हि फलम्,-
फलम् त्यक्त्वा,-
फलं त्यक्त्वा,[[मोऽनुस्वारः (8.3.23)]]
त्यक्त्वा मनीषिणस्,-
मनीषिणस्,-
मनीषिणरुँ,[[ससजुषो रुः (8.2.66)]]
मनीषिणर्,[[तस्य लोपः (1.3.9)]]
मनीषिणः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
जन्मबन्धविनिर्मुक्तास् पदम्,-
जन्मबन्धविनिर्मुक्तारुँ पदम्,[[ससजुषो रुः (8.2.66)]]
जन्मबन्धविनिर्मुक्तार् पदम्,[[तस्य लोपः (1.3.9)]]
जन्मबन्धविनिर्मुक्ताः पदम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
जन्मबन्धविनिर्मुक्ताः पदम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पदम् गच्छन्ति,-
पदं गच्छन्ति,[[मोऽनुस्वारः (8.3.23)]]
गच्छन्ति अनामयम्,-
गच्छन्त्यनामयम्,[[इको यणचि (6.1.77)]]
गच्छन्त्यनामयम्,-
