स्थिति,सूत्र
मत्तस् परतरम्,-
मत्तरुँ परतरम्,[[ससजुषो रुः (8.2.66)]]
मत्तर् परतरम्,[[तस्य लोपः (1.3.9)]]
मत्तः परतरम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मत्तः परतरम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
परतरम् न,-
परतरं न,[[मोऽनुस्वारः (8.3.23)]]
न अन्यत्,-
नान्यत्,[[अकः सवर्णे दीर्घः (6.1.101)]]
नान्यत् किञ्चित्,-
नान्यद् किञ्चित्,[[झलां जशोऽन्ते (8.2.39)]]
नान्यत् किञ्चित्,[[खरि च (8.4.55)]]
किञ्चित् अस्ति,-
किञ्चिद् अस्ति,[[झलां जशोऽन्ते (8.2.39)]]
अस्ति धनञ्जय,-
धनञ्जय,-
मयि सर्वम्,-
सर्वम् इदम्,-
इदम् प्रोतम्,-
इदं प्रोतम्,[[मोऽनुस्वारः (8.3.23)]]
प्रोतम् सूत्रे,-
प्रोतं सूत्रे,[[मोऽनुस्वारः (8.3.23)]]
सूत्रे मणिगणास्,-
मणिगणास् इव,-
मणिगणारुँ इव,[[ससजुषो रुः (8.2.66)]]
मणिगणार् इव,[[तस्य लोपः (1.3.9)]]
मणिगणाय् इव,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
मणिगणा इव,[[लोपः शाकल्यस्य (8.3.19)]]
इव,-
