स्थिति,सूत्र
यस् तु,-
यरुँ तु,[[ससजुषो रुः (8.2.66)]]
यर् तु,[[तस्य लोपः (1.3.9)]]
यः तु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यस् तु,[[विसर्जनीयस्य सः (8.3.34)]]
तु इन्द्रियाणि,-
त्विन्द्रियाणि,[[इको यणचि (6.1.77)]]
त्विन्द्रियाणि मनसा,-
मनसा नियम्य,-
नियम्य आरभते,-
नियम्यारभते,[[अकः सवर्णे दीर्घः (6.1.101)]]
नियम्यारभते अर्जुन,-
नियम्यारभतेऽर्जुन,[[एङः पदान्तादति (6.1.109)]]
नियम्यारभतेऽर्जुन,-
कर्मेन्द्रियैस् कर्मयोगम्,-
कर्मेन्द्रियैरुँ कर्मयोगम्,[[ससजुषो रुः (8.2.66)]]
कर्मेन्द्रियैर् कर्मयोगम्,[[तस्य लोपः (1.3.9)]]
कर्मेन्द्रियैः कर्मयोगम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कर्मेन्द्रियैः कर्मयोगम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कर्मयोगम् असक्तस्,-
असक्तस् सस्,-
असक्तरुँ सस्,[[ससजुषो रुः (8.2.66)]]
असक्तर् सस्,[[तस्य लोपः (1.3.9)]]
असक्तः सस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
असक्तः सस्,[[वा शरि (8.3.36)]]
सस् विशिष्यते,-
स विशिष्यते,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
विशिष्यते,-
