स्थिति,सूत्र
ज्ञेयस् सस्,-
ज्ञेयरुँ सस्,[[ससजुषो रुः (8.2.66)]]
ज्ञेयर् सस्,[[तस्य लोपः (1.3.9)]]
ज्ञेयः सस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
ज्ञेयः सस्,[[वा शरि (8.3.36)]]
सस् नित्यसंन्यासी,-
स नित्यसंन्यासी,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
नित्यसंन्यासी यस्,-
यस् न,-
यरुँ न,[[ससजुषो रुः (8.2.66)]]
यर् न,[[तस्य लोपः (1.3.9)]]
य उ न,[[हशि च (6.1.114)]]
यो न,[[आद्गुणः (6.1.87)]]
न द्वेष्टि,-
द्वेष्टि न,-
न काङ्क्षति,-
काङ्क्षति,-
निर्द्वन्द्वस् हि,-
निर्द्वन्द्वरुँ हि,[[ससजुषो रुः (8.2.66)]]
निर्द्वन्द्वर् हि,[[तस्य लोपः (1.3.9)]]
निर्द्वन्द्व उ हि,[[हशि च (6.1.114)]]
निर्द्वन्द्वो हि,[[आद्गुणः (6.1.87)]]
हि महाबाहो,-
महाबाहो सुखम्,-
सुखम् बन्धात्,-
सुखं बन्धात्,[[मोऽनुस्वारः (8.3.23)]]
बन्धात् प्रमुच्यते,-
बन्धाद् प्रमुच्यते,[[झलां जशोऽन्ते (8.2.39)]]
बन्धात् प्रमुच्यते,[[खरि च (8.4.55)]]
प्रमुच्यते,-
