स्थिति,सूत्र
एवम् उक्तस्,-
उक्तस् हृषीकेशस्,-
उक्तरुँ हृषीकेशस्,[[ससजुषो रुः (8.2.66)]]
उक्तर् हृषीकेशस्,[[तस्य लोपः (1.3.9)]]
उक्त उ हृषीकेशस्,[[हशि च (6.1.114)]]
उक्तो हृषीकेशस्,[[आद्गुणः (6.1.87)]]
हृषीकेशस् गुडाकेशेन,-
हृषीकेशरुँ गुडाकेशेन,[[ससजुषो रुः (8.2.66)]]
हृषीकेशर् गुडाकेशेन,[[तस्य लोपः (1.3.9)]]
हृषीकेश उ गुडाकेशेन,[[हशि च (6.1.114)]]
हृषीकेशो गुडाकेशेन,[[आद्गुणः (6.1.87)]]
गुडाकेशेन भारत,-
भारत,-
सेनयोस् उभयोर्मध्ये,-
सेनयोरुँ उभयोर्मध्ये,[[ससजुषो रुः (8.2.66)]]
सेनयोर् उभयोर्मध्ये,[[तस्य लोपः (1.3.9)]]
उभयोर्मध्ये स्थापयित्वा,-
स्थापयित्वा रथोत्तमम्,-
रथोत्तमम्,-
