स्थिति,सूत्र
अन्ये च,-
च बहवस्,-
बहवस् शूरास्,-
बहवरुँ शूरास्,[[ससजुषो रुः (8.2.66)]]
बहवर् शूरास्,[[तस्य लोपः (1.3.9)]]
बहवः शूरास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
बहवः शूरास्,[[वा शरि (8.3.36)]]
शूरास् मदर्थे,-
शूरारुँ मदर्थे,[[ससजुषो रुः (8.2.66)]]
शूरार् मदर्थे,[[तस्य लोपः (1.3.9)]]
शूराय् मदर्थे,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
शूरा मदर्थे,[[हलि सर्वेषाम् (8.3.22)]]
मदर्थे त्यक्तजीवितास्,-
त्यक्तजीवितास्,-
त्यक्तजीवितारुँ,[[ससजुषो रुः (8.2.66)]]
त्यक्तजीवितार्,[[तस्य लोपः (1.3.9)]]
त्यक्तजीविताः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
नानाशस्त्रप्रहरणास् सर्वे,-
नानाशस्त्रप्रहरणारुँ सर्वे,[[ससजुषो रुः (8.2.66)]]
नानाशस्त्रप्रहरणार् सर्वे,[[तस्य लोपः (1.3.9)]]
नानाशस्त्रप्रहरणाः सर्वे,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
नानाशस्त्रप्रहरणाः सर्वे,[[वा शरि (8.3.36)]]
सर्वे युद्धविशारदास्,-
युद्धविशारदास्,-
युद्धविशारदारुँ,[[ससजुषो रुः (8.2.66)]]
युद्धविशारदार्,[[तस्य लोपः (1.3.9)]]
युद्धविशारदाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
