स्थिति,सूत्र
प्राप्य पुण्यकृताम्,-
पुण्यकृताम् लोकान्,-
पुण्यकृतां लोकान्,[[मोऽनुस्वारः (8.3.23)]]
लोकान् उषित्वा,-
उषित्वा शाश्वतीस्,-
शाश्वतीस् समास्,-
शाश्वतीरुँ समास्,[[ससजुषो रुः (8.2.66)]]
शाश्वतीर् समास्,[[तस्य लोपः (1.3.9)]]
शाश्वतीः समास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
शाश्वतीः समास्,[[वा शरि (8.3.36)]]
समास्,-
समारुँ,[[ससजुषो रुः (8.2.66)]]
समार्,[[तस्य लोपः (1.3.9)]]
समाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
शुचीनाम् श्रीमताम्,-
शुचीनां श्रीमताम्,[[मोऽनुस्वारः (8.3.23)]]
श्रीमताम् गेहे,-
श्रीमतां गेहे,[[मोऽनुस्वारः (8.3.23)]]
गेहे योगभ्रष्टस्,-
योगभ्रष्टस् अभिजायते,-
योगभ्रष्टरुँ अभिजायते,[[ससजुषो रुः (8.2.66)]]
योगभ्रष्टर् अभिजायते,[[तस्य लोपः (1.3.9)]]
योगभ्रष्ट उ अभिजायते,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
योगभ्रष्टो अभिजायते,[[आद्गुणः (6.1.87)]]
योगभ्रष्टोऽभिजायते,[[एङः पदान्तादति (6.1.109)]]
योगभ्रष्टोऽभिजायते,-
